`id`,`url`,`name`,`description`,`domain`,,
6,https://github.com/cocos2d/cocos2d-x,cocos2d-x,Port of cocos2d-iphone in C++,Software and its engineering,,
231,https://github.com/celluloid/celluloid,celluloid,Actor-based concurrent object framework for Ruby,Software and its engineering,,
280,https://github.com/ducksboard/gridster.js,gridster.js,gridster.js is a jQuery plugin that makes building intuitive draggable layouts from elements spanning multiple columns ,Software and its engineering,,
334,https://github.com/hakimel/reveal.js,reveal.js,HTML5 Presentation Tool,Human-centered computing,,
391,https://github.com/Cerdic/CSSTidy,CSSTidy,CSSTidy is a CSS minifier,Software and its engineering,,
392,https://github.com/adobe/brackets,brackets,"An open source code editor for the web, written in JavaScript, HTML and CSS.",Software and its engineering,,
675,https://github.com/jrburke/requirejs,requirejs,A file and module loader for JavaScript,Software and its engineering,,
735,https://github.com/jrburke/r.js,r.js,"Runs RequireJS in Node and Rhino, and used to run the RequireJS optimizer",Software and its engineering,,
788,https://github.com/FFmpeg/FFmpeg,FFmpeg,mirror of git://git.videolan.org/ffmpeg.git,Applied computing,,
799,https://github.com/raspberrypi/linux,linux,,Computer systems organization,,
982,https://github.com/mranney/node_pcap,node_pcap,libpcap bindings for node,Networks,,
1022,https://github.com/gpambrozio/BlockAlertsAnd-ActionSheets,BlockAlertsAnd-ActionSheets,Beautifully done UIAlertView and UIActionSheet replacements inspired by TweetBot,Software and its engineering,,
1182,https://github.com/twitter/scalding,scalding,A Scala API for Cascading,Software and its engineering,,
1207,https://github.com/pyrocms/pyrocms,pyrocms,"PyroCMS is a CMS built using the CodeIgniter PHP framework with modularity in mind. Lightweight, themeable and dynamic.",Information systems,,
1305,https://github.com/honcheng/PaperFold-for-iOS,PaperFold-for-iOS,Paper folding animation for iOS,Human-centered computing,,
1615,https://github.com/appdotnet/api-spec,api-spec,"App.net stream API spec. We're building a real-time social service where users and developers come first, not advertisers. Help us create the service we all wish existed.",General and reference,,
1620,https://github.com/kraih/mojo,mojo,Mojolicious - Perl real-time web framework,Information systems,,
1742,https://github.com/carhartl/jquery-cookie,jquery-cookie,"A simple, lightweight jQuery plugin for reading, writing and deleting cookies",Software and its engineering,,
1743,https://github.com/pennersr/django-allauth,django-allauth,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication.  Visit http://jug.gl for a live demo ...",Information systems,,
1799,https://github.com/Theano/Theano,Theano,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It can use GPUs and perform efficient symbolic differentiation.",Mathematics of computation,,
1819,https://github.com/markjaquith/WP-TLC-Transients,WP-TLC-Transients,,Information systems,,
1962,https://github.com/Azure/azure-sdk-for-node,azure-sdk-for-node,Azure SDK for Node.js,Software and its engineering,,
1996,https://github.com/devinross/tapkulibrary,tapkulibrary,"tap + haiku = tapku, a well crafted open source iOS framework",Software and its engineering,,
2146,https://github.com/mongodb/mongo-python-driver,mongo-python-driver,PyMongo - the Python driver for MongoDB,Information systems,,
2204,https://github.com/commadelimited/jQuery-Mobile-Bootstrap-Theme,jQuery-Mobile-Bootstrap-Theme,A jQuery Mobile theme based on Twitter Bootstrap,Human-centered computing,,
2727,https://github.com/jzaefferer/jquery-validation,jquery-validation,jQuery Validation Plugin,Human-centered computing,,
2746,https://github.com/Jermolene/TiddlyWiki5,TiddlyWiki5,A reboot of TiddlyWiki for the next 25 years,Information systems,,
2864,https://github.com/rickynils/scalacheck,scalacheck,A powerful tool for automatic unit testing,Software and its engineering,,
3052,https://github.com/LemonBoy/ldm,ldm,"A lightweight device mounter, with libudev as only dependency",Hardware,,
3386,https://github.com/jwiegley/use-package,use-package,A use-package declaration for simplifying your .emacs,Human-centered computing,,
3430,https://github.com/ccampbell/mousetrap,mousetrap,Simple library for handling keyboard shortcuts in Javascript,Human-centered computing,,
3457,https://github.com/farbrausch/fr_public,fr_public,Farbrausch demo tools 2001-2011,Applied computing,,
3595,https://github.com/derickbailey/backbone.marionette,backbone.marionette,Make your Backbone.js apps dance with a composite application architecture!,Software and its engineering,,
3623,https://github.com/mperham/dalli,dalli,High performance memcached client for Ruby,Software and its engineering,,
3648,https://github.com/gafiatulin/ml-class,ml-class,My solutions to programming exercises from Stanford online Machine Learning class.,Computing methodologies,,
3751,https://github.com/stephenh/tessell,tessell,"GWT model, presenter, view framework",Software and its engineering,,
3928,https://github.com/imsky/holder,holder,Holder renders image placeholders entirely on the client side.,Human-centered computing,,
4003,https://github.com/kennytm/iphone-private-frameworks,iphone-private-frameworks,Headers for private frameworks or undocumented interfaces of iPhoneOS 3.x or before (4.x is not supported yet).,Software and its engineering,,
4021,https://github.com/basho/rebar,rebar,A sophisticated build-tool for Erlang projects that follows OTP principles.,Software and its engineering,,
4068,https://github.com/jruby/jruby,jruby,"JRuby, an implementation of Ruby on the JVM",Software and its engineering,,
4095,https://github.com/elasticsearch/elasticsearch,elasticsearch,"Open Source, Distributed, RESTful Search Engine",Computing methodologies,,
4267,https://github.com/pods-framework/pods,pods,Pods CMS Framework is a Content Development Framework for WordPress,Information systems,,
4276,https://github.com/liu21st/thinkphp,thinkphp,,Software and its engineering,,
4281,https://github.com/liquidz/misaki,misaki,Jekyll inspired static site generator in Clojure,Software and its engineering,,
4346,https://github.com/rsms/peertalk,peertalk,iOS and OS X Cocoa library for communicating over USB and TCP,Hardware,,
4432,https://github.com/angular/angularjs-batarang,angularjs-batarang,AngularJS WebInspector Extension for Chrome,Software and its engineering,,
4473,https://github.com/mwunsch/weary,weary,A framework and DSL for building RESTful web service clients,Information systems,,
4654,https://github.com/RailsApps/rails-composer,rails-composer,Rails Composer. The Rails generator on steroids for starter apps.,Software and its engineering,,
4711,https://github.com/github/hubot-scripts,hubot-scripts,"optional scripts for hubot, opt in via hubot-scripts.json",,,
4846,https://github.com/wycats/handlebars.js,handlebars.js,,,,
4929,https://github.com/nicolasgramlich/AndEngine,AndEngine,Free Android 2D OpenGL Game Engine,Software and its engineering,,
5124,https://github.com/ServiceStack/ServiceStack,ServiceStack,"Thoughtfully architected, obscenely fast, thoroughly enjoyable web services for all",Information systems,,
5161,https://github.com/OscarGodson/EpicEditor,EpicEditor,"EpicEditor is an embeddable JavaScript Markdown editor with split fullscreen editing, live previewing, automatic draft saving, offline support, and more. For developers, it offers a robust API, can be easily themed, and allows you to swap out the bundled ",Applied computing,,
5184,https://github.com/django-haystack/django-haystack,django-haystack,Modular search for Django,Information systems,,
5455,https://github.com/rg3/youtube-dl,youtube-dl,Small command-line program to download videos from YouTube.com and other video sites,Applied computing,,
5478,https://github.com/lokesh/lightbox2,lightbox2,"The original lightbox script, finally on github.",Human-centered computing,,
5497,https://github.com/Lokaltog/vim-easymotion,vim-easymotion,Vim motions on speed!,,,
5626,https://github.com/sampsyo/beets,beets,music library manager and MusicBrainz tagger,,,
5629,https://github.com/cyberdelia/django-pipeline,django-pipeline,Pipeline is an asset packaging library for Django.,,,
5874,https://github.com/clojure/clojure,clojure,The Clojure programming language,Software and its engineering,,
6009,https://github.com/sitaramc/gitolite,gitolite,"Hosting git repositories -- Gitolite allows you to setup git hosting on a central server, with very fine-grained access control and many (many!) more powerful features.  [IMPORTANT: please click and read the WIKI link above before submitting issues, pull ",Information systems,,
6053,https://github.com/soundcloud/waveformjs,waveformjs,Waveform.js makes drawing SoundCloud waveforms simple and lets you style and color them the way you want it,Human-centered computing,,
6223,https://github.com/sqlmapproject/sqlmap,sqlmap,Automatic SQL injection and database takeover tool,Security and privacy,,
6313,https://github.com/jquery/jquery,jquery,jQuery JavaScript Library,Software and its engineering,,
6413,https://github.com/twitter/commons,commons,Twitter common libraries for python and the JVM,,,
6848,https://github.com/rails/jbuilder,jbuilder,Create JSON structures via a Builder-style DSL,,,
6931,https://github.com/toptensoftware/PetaPoco,PetaPoco,A tiny ORM-ish thing for your POCO's,Information systems,,
6978,https://github.com/paradoxxxzero/gnome-shell-system-monitor-applet,gnome-shell-system-monitor-applet,"Display system informations in gnome shell status bar, such as memory usage, cpu usage, network ratesâ€¦",Human-centered computing,,
7059,https://github.com/jnordberg/wintersmith,wintersmith,A flexible static site generator,,,
7149,https://github.com/caolan/jam,jam,The JavaScript package manager - using a browser-focused and RequireJS compatible repository,,,
7233,https://github.com/sunspot/sunspot,sunspot,Solr-powered search for Ruby objects,,,
7317,https://github.com/fernandezpablo85/scribe-java,scribe-java,Simple OAuth library for Java,,,
7756,https://github.com/appcelerator/alloy,alloy,Alloy is an MVC framework for Titanium which is developed by Appcelerator.,,,
7836,https://github.com/yusuke/twitter4j,twitter4j,"Twitter4J is an open-sourced, mavenized and Google App Engine safe Java library for the Twitter API which is released under the Apache License 2.0.",,,
7982,https://github.com/sstephenson/prototype,prototype,Prototype JavaScript framework,,,
8127,https://github.com/matplotlib/matplotlib,matplotlib,,Mathematics of computation,,
8184,https://github.com/scrooloose/syntastic,syntastic,Syntax checking hacks for vim,,,
8304,https://github.com/apache/cassandra,cassandra,Mirror of Apache Cassandra (incubating),,,
8329,https://github.com/enormego/EGOTableViewPullRefresh,EGOTableViewPullRefresh,A similar control to the pull down to refresh control created by atebits in Tweetie 2.,,,
8390,https://github.com/bagder/curl,curl,"Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, GOPHER, TFTP, SCP, SFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features",Networks,,
8525,https://github.com/LearnBoost/stylus,stylus,"Expressive, robust, feature-rich CSS language built for nodejs",Software and its engineering,,
