"`id`","`avg_followers`"
"799","30.4556"
"1182","54.7027"
"1742","79.1111"
"4068","149.9531"
"4346","391.8000"
"5124","17.1056"
"5874","268.2941"
"7233","123.2695"
"7982","509.5769"
"9682","140.2836"
"9716","16.1556"
"10798","176.7673"
"11902","141.3576"
"12258","89.4808"
"14061","78.8857"
"17411","27.0000"
"18571","55.0328"
"19626","33.7321"
"19806","164.3182"
"19996","148.1250"
"23122","250.1875"
"23605","1116.6429"
"23834","175.0714"
"28054","56.4390"
"28069","76.2154"
"28204","34.1398"
"29914","393.6947"
"54491","42.9259"
"96553","50.9091"
"119977","59.7222"
"158753","58.8846"
"182702","13.8472"
"219601","101.8889"
"243431","132.1739"
"280617","51.0000"
"328815","58.5000"
"696102","53.1131"
"784448","6.6667"
"1001578","24.5500"
"1432150","155.6071"
"1528221","14.9528"
"1698522","75.3333"
"1927874","193.6667"
"1961397","28.7692"
"2363619","402.8462"
"2363758","58.2500"
"3201792","89.3333"
"3346024","49.4671"
"3368849","60.2500"
"3716978","45.4444"
"3759006","35.1765"
"3863843","18.7059"
"4198417","129.6634"
"4588007","16.7083"
"4605271","137.0000"
"4877698","42.9231"
"4963729","140.6000"
"5435325","93.5000"
"5507363","88.5714"
"6096676","212.2414"
"6278048","138.4043"
"6312005","51.1053"
"6699074","98.0811"
"6712024","233.6250"
"6843683","4.5000"
"6988998","1024.0000"
"7001356","31.6667"
"7019686","33.7660"
"7212462","30.0408"
"7240106","233.1867"
"7260288","89.1429"
"7304063","188.0000"
"7666955","60.2632"
"7751311","34.6739"
"8017772","101.7965"
"8776028","27.2857"
"8906917","111.7857"
"9232309","26.3095"
"9570005","366.2500"
"9906217","84.2714"
"9961002","94.0000"
"10425716","783.8000"
"10464490","593.6667"
"10548198","57.6154"
"10576004","121.3494"
"10815238","67.8667"
"10947458","143.6000"
"11132347","15.2143"
"11144636","39.4091"
"11238565","575.6923"
"11588385","82.0000"
"11784159","171.8235"
"11854803","148.7647"
"12682828","698.0000"
"12740796","32.0370"
"12798077","5881.0000"
"12908987","261.6000"
"13403042","224.5000"
"13462180","10.1250"
"13520780","156.3333"
"13593152","304.3333"
"13595364","13.6667"
"13679102","469.6667"
"13737011","86.4783"
"14505051","19.1250"
"14545279","113.7619"
"14782669","121.3333"
"14959628","2157.0000"
"15592045","312.3143"
"15778405","55.7826"
"16837900","36.4545"
"18257960","176.7083"
"18313948","36.3333"
"18674058","468.5000"
"18847237","12.8333"
"18869596","203.3333"
"19010386","62.3636"
"21924858","23.0000"
"22042237","55.5833"
"25070656","14.0000"
"27623476","212.0000"
"28401052","252.0000"
"28992266","133.7857"
