"`id`","`max_followers`"
"427934","5"
"1009716","70"
"3549651","17"
"6505671","3"
"8742938","2"
"10956567","6"
"11698195","38"
"12398542","3"
"12998527","90"
"14486832","1"
"14666817","764"
"14922006","48"
"15708243","1"
"15729314","319"
"16116800","195"
"16415741","114"
"16611808","632"
"16723951","45"
"17009322","202"
"17139019","561"
"17629210","43"
"18199108","1"
"18507554","79"
"18822502","1070"
"19664730","589"
"20434473","2821"
"20844574","32"
"24431405","2"
"24491126","7"
"24899862","1"
"26112145","1"
"28486256","3"
"28947710","21"
