`id`,`url`,`name`,`description`,`domain`
6,https://api.github.com/repos/cocos2d/cocos2d-x,cocos2d-x,Port of cocos2d-iphone in C++,Software and its engineering
231,https://api.github.com/repos/celluloid/celluloid,celluloid,Actor-based concurrent object framework for Ruby,Software and its engineering
280,https://api.github.com/repos/ducksboard/gridster.js,gridster.js,gridster.js is a jQuery plugin that makes building intuitive draggable layouts from elements spanning multiple columns ,Software and its engineering
334,https://api.github.com/repos/hakimel/reveal.js,reveal.js,HTML5 Presentation Tool,Human-centered computing
391,https://api.github.com/repos/Cerdic/CSSTidy,CSSTidy,CSSTidy is a CSS minifier,Software and its engineering
392,https://api.github.com/repos/adobe/brackets,brackets,An open source code editor for the web, written in JavaScript, HTML and CSS.,Software and its engineering
675,https://api.github.com/repos/jrburke/requirejs,requirejs,A file and module loader for JavaScript,Software and its engineering
735,https://api.github.com/repos/jrburke/r.js,r.js,Runs RequireJS in Node and Rhino, and used to run the RequireJS optimizer,Software and its engineering
788,https://api.github.com/repos/FFmpeg/FFmpeg,FFmpeg,mirror of git://git.videolan.org/ffmpeg.git,Applied computing
799,https://api.github.com/repos/raspberrypi/linux,linux,Computer systems organization
982,https://api.github.com/repos/mranney/node_pcap,node_pcap,libpcap bindings for node,Networks
1022,https://api.github.com/repos/gpambrozio/BlockAlertsAnd-ActionSheets,BlockAlertsAnd-ActionSheets,Beautifully done UIAlertView and UIActionSheet replacements inspired by TweetBot,Software and its engineering
1182,https://api.github.com/repos/twitter/scalding,scalding,A Scala API for Cascading,Software and its engineering
1207,https://api.github.com/repos/pyrocms/pyrocms,pyrocms,PyroCMS is a CMS built using the CodeIgniter PHP framework with modularity in mind. Lightweight, themeable and dynamic.,Information systems
1305,https://api.github.com/repos/honcheng/PaperFold-for-iOS,PaperFold-for-iOS,Paper folding animation for iOS,Human-centered computing
1615,https://api.github.com/repos/appdotnet/api-spec,api-spec,App.net stream API spec. We're building a real-time social service where users and developers come first, not advertisers. Help us create the service we all wish existed.,General and reference
1620,https://api.github.com/repos/kraih/mojo,mojo,Mojolicious - Perl real-time web framework,Information systems
1742,https://api.github.com/repos/carhartl/jquery-cookie,jquery-cookie,A simple, lightweight jQuery plugin for reading, writing and deleting cookies,Software and its engineering
