`id`;`domain`
6;Software and its engineering
231;Software and its engineering
280;Software and its engineering
334;Human-centered computing
391;Software and its engineering
392;Software and its engineering
675;Software and its engineering
735;Software and its engineering
788;Applied computing
799;Computer systems organization
982;Networks
1022;Software and its engineering
1182;Software and its engineering
1207;Information systems
1305;Human-centered computing
1615;General and reference
1620;Information systems
1742;Software and its engineering
1743;Information systems
1799;Mathematics of computation
1819;Information systems
1962;Software and its engineering
1996;Software and its engineering
2146;Information systems
2204;Human-centered computing
2727;Human-centered computing
2746;Information systems
2864;Software and its engineering
3052;Hardware
3386;Human-centered computing
3430;Human-centered computing
3457;Applied computing
3595;Software and its engineering
3623;Software and its engineering
3648;Computing methodologies
3751;Software and its engineering
3928;Human-centered computing
4003;Software and its engineering
4021;Software and its engineering
4068;Software and its engineering
4095;Computing methodologies
4267;Information systems
4276;Software and its engineering
4281;Software and its engineering
4346;Hardware
4432;Software and its engineering
4473;Information systems
4654;Software and its engineering
4711;Applied computing
4846;Theory of computation
4929;Software and its engineering
5124;Information systems
5161;Applied computing
5184;Information systems
5455;Applied computing
5478;Human-centered computing
5497;Human-centered computing
5626;Information systems
5629;Software and its engineering
5874;Software and its engineering
6009;Information systems
6053;Human-centered computing
6223;Security and privacy
6313;Software and its engineering
6413;Networks
6848;Software and its engineering
6931;Information systems
6978;Human-centered computing
7059;Networks
7149;Networks
7233;Software and its engineering
7317;Security and privacy
7756;Software and its engineering
7836;Networks
7982;Software and its engineering
8127;Mathematics of computation
8184;Human-centered computing
8304;Information systems
8329;Human-centered computing
8390;Networks
8525;Software and its engineering
8566;Software and its engineering
8833;Software and its engineering
8892;Software and its engineering
9259;Mathematics of computation
9383;Software and its engineering
9682;Human-centered computing
9709;Networks
9713;Information systems
9716;Human-centered computing
9951;Software and its engineering
10070;General and reference
10197;Software and its engineering
10462;Software and its engineering
10512;Human-centered computing
10579;Hardware
10594;Applied computing
10649;Human-centered computing
10686;Security and privacy
10798;General and reference
10912;Software and its engineering
11067;Software and its engineering
11435;Human-centered computing
11820;Information systems
11902;Software and its engineering
12031;Software and its engineering
12257;Human-centered computing
12258;Security and privacy
12830;Software and its engineering
12831;Information systems
12885;Human-centered computing
13235;Networks
13436;Information systems
13718;Software and its engineering
13747;Security and privacy
13929;Human-centered computing
14061;Software and its engineering
14098;Applied computing
14622;Hardware
14763;Human-centered computing
14952;Information systems
15433;Human-centered computing
15728;Networks
15756;Human-centered computing
15762;Applied computing
16113;Human-centered computing
16376;Applied computing
16462;Software and its engineering
16639;Software and its engineering
16820;Software and its engineering
16836;Human-centered computing
17000;Applied computing
17165;Human-centered computing
17411;Information systems
17730;Human-centered computing
17742;Security and privacy
17798;Software and its engineering
18003;Information systems
18045;Human-centered computing
18090;Information systems
18250;Networks
18571;Human-centered computing
18601;Software and its engineering
18941;Human-centered computing
19019;Software and its engineering
19030;Computing methodologies
19375;Networks
19579;Security and privacy
19615;Information systems
19626;Human-centered computing
19640;Human-centered computing
19806;Human-centered computing
19996;Software and its engineering
20138;Human-centered computing
20678;Software and its engineering
21218;Software and its engineering
21274;Software and its engineering
21530;Software and its engineering
21621;Applied computing
22086;Human-centered computing
22321;General and reference
22528;Human-centered computing
22551;Networks
22772;Human-centered computing
23085;Software and its engineering
23122;Human-centered computing
23238;Human-centered computing
23301;Human-centered computing
23429;Software and its engineering
23605;Information systems
23670;Networks
23834;Software and its engineering
23888;Software and its engineering
24177;Security and privacy
24213;Networks
24326;Information systems
24522;Software and its engineering
24559;Software and its engineering
24603;Networks
24889;Software and its engineering
24960;Human-centered computing
25016;Software and its engineering
25359;Software and its engineering
25380;Networks
25986;Software and its engineering
26624;Computing methodologies
26636;Information systems
26688;Hardware
27046;Software and its engineering
27194;Hardware
28009;Human-centered computing
28054;Security and privacy
28069;Information systems
28204;Software and its engineering
28556;Networks
28576;Applied computing
29172;Computing methodologies
29762;Human-centered computing
29914;Information systems
29991;Information systems
30402;Applied computing
30653;Human-centered computing
30738;Software and its engineering
30761;Security and privacy
31283;Human-centered computing
31366;Human-centered computing
32023;Software and its engineering
32107;Networks
32638;Computing methodologies
33227;Software and its engineering
33565;Security and privacy
33656;Information systems
34288;Human-centered computing
35473;Software and its engineering
36313;Software and its engineering
36413;Information systems
36591;Software and its engineering
36713;Information systems
37623;Software and its engineering
37778;Software and its engineering
38658;Human-centered computing
38744;Information systems
39027;Software and its engineering
39044;Software and its engineering
39075;Software and its engineering
40389;Software and its engineering
41254;Applied computing
41498;Information systems
41849;Networks
42214;Software and its engineering
42948;Software and its engineering
43969;Human-centered computing
45141;Hardware
45669;Applied computing
45702;Software and its engineering
47940;Software and its engineering
48829;Applied computing
48951;Computing methodologies
49570;Software and its engineering
50875;Software and its engineering
53018;Applied computing
53286;Information systems
54068;Software and its engineering
54351;Security and privacy
54491;Human-centered computing
54745;Networks
54785;Human-centered computing
55259;General and reference
56374;Software and its engineering
58642;Information systems
58903;Human-centered computing
59582;Human-centered computing
59607;Software and its engineering
59830;Applied computing
61117;Software and its engineering
62093;Software and its engineering
64212;Software and its engineering
64390;Human-centered computing
64654;Human-centered computing
65772;Applied computing
69069;Software and its engineering
70499;Security and privacy
74160;Applied computing
78782;Empty
79442;Human-centered computing
81444;Software and its engineering
82957;Human-centered computing
84341;Software and its engineering
85800;Software and its engineering
87135;Software and its engineering
87869;Applied computing
88390;Software and its engineering
90988;Human-centered computing
91363;Software and its engineering
94451;Hardware
96553;Software and its engineering
96689;Software and its engineering
96763;Software and its engineering
98743;Software and its engineering
99731;Software and its engineering
100266;Human-centered computing
102179;Human-centered computing
104483;Information systems
106815;Software and its engineering
106864;Software and its engineering
107530;Human-centered computing
110992;Human-centered computing
112249;Software and its engineering
112262;Human-centered computing
112292;Human-centered computing
113880;Software and its engineering
114167;Information systems
114751;Software and its engineering
116162;Networks
118048;Applied computing
118551;Software and its engineering
119275;Applied computing
119977;Human-centered computing
120216;Software and its engineering
120707;Software and its engineering
122760;General and reference
123356;Human-centered computing
124137;Applied computing
124505;Human-centered computing
126528;Information systems
126778;Software and its engineering
131286;Human-centered computing
134290;General and reference
136457;Applied computing
137246;Software and its engineering
141145;Software and its engineering
141261;Human-centered computing
142406;Human-centered computing
146205;Human-centered computing
149332;Human-centered computing
150716;Human-centered computing
153822;Software and its engineering
154114;Networks
156773;Software and its engineering
158753;Networks
159999;Hardware
164085;Networks
166720;Human-centered computing
167194;Networks
167303;Networks
167985;Applied computing
169454;Human-centered computing
169529;Applied computing
176492;Information systems
176596;Applied computing
180685;Software and its engineering
181526;Applied computing
182702;Software and its engineering
185861;Applied computing
189681;Applied computing
198069;Applied computing
201672;Software and its engineering
204692;Software and its engineering
205834;Information systems
206270;Software and its engineering
207212;Human-centered computing
209924;Software and its engineering
214505;Human-centered computing
214552;Software and its engineering
216447;Computing methodologies
219601;Software and its engineering
220953;Software and its engineering
222916;Software and its engineering
223537;Applied computing
224435;Human-centered computing
231026;Software and its engineering
233193;Software and its engineering
238698;Human-centered computing
242564;Applied computing
243431;Networks
244129;Applied computing
244417;Software and its engineering
246730;Hardware
255320;Human-centered computing
260066;Software and its engineering
262948;Software and its engineering
263107;Software and its engineering
267105;Applied computing
267717;Applied computing
276344;Software and its engineering
280617;Software and its engineering
284018;Software and its engineering
284075;Information systems
285798;Applied computing
303616;Applied computing
306833;General and reference
306908;Applied computing
307612;Applied computing
309661;Software and its engineering
311780;Software and its engineering
313268;Applied computing
319466;Human-centered computing
321869;Information systems
323565;Applied computing
326476;Information systems
328815;Human-centered computing
335881;Software and its engineering
337343;Software and its engineering
338816;Human-centered computing
343698;Human-centered computing
344063;Applied computing
348868;Human-centered computing
357887;Software and its engineering
362053;Security and privacy
362894;Human-centered computing
363605;Applied computing
366402;Software and its engineering
374916;Applied computing
383256;Human-centered computing
386790;Human-centered computing
410586;Software and its engineering
414089;Networks
419651;Human-centered computing
422791;Software and its engineering
427496;Networks
427934;Human-centered computing
440795;Applied computing
445199;Software and its engineering
450059;Software and its engineering
450328;Human-centered computing
454235;Information systems
455467;Human-centered computing
460773;Applied computing
497181;Applied computing
499056;Security and privacy
519333;Applied computing
543497;Software and its engineering
546329;Human-centered computing
569534;Mathematics of computation
572040;Software and its engineering
576260;Applied computing
579759;Human-centered computing
601064;Human-centered computing
603530;Software and its engineering
615055;Computing methodologies
640609;Applied computing
643697;Software and its engineering
651549;Human-centered computing
652682;Software and its engineering
673716;Human-centered computing
677148;Networks
683351;Software and its engineering
686542;Software and its engineering
696102;Information systems
705818;Applied computing
718118;Security and privacy
719340;Software and its engineering
723307;Applied computing
724361;Human-centered computing
726806;Applied computing
738430;Software and its engineering
742622;Software and its engineering
743378;Human-centered computing
748510;Human-centered computing
750986;Applied computing
771049;Computing methodologies
772395;Software and its engineering
773433;Software and its engineering
784448;Human-centered computing
788950;Human-centered computing
804708;Software and its engineering
811373;Networks
811401;Networks
812923;Networks
839143;Human-centered computing
843214;General and reference
856494;General and reference
870927;Information systems
911527;Applied computing
927777;Applied computing
979207;Computing methodologies
1001578;Information systems
1008365;Human-centered computing
1009716;Software and its engineering
1011413;Applied computing
1015480;Security and privacy
1017307;Applied computing
1025135;Applied computing
1027466;Human-centered computing
1031791;Applied computing
1036996;Applied computing
1059797;Human-centered computing
1078185;Human-centered computing
1080519;Software and its engineering
1083125;Human-centered computing
1084208;Software and its engineering
1084793;Networks
1093294;Information systems
1098117;Software and its engineering
1099822;Software and its engineering
1100704;Software and its engineering
1117036;General and reference
1124381;Software and its engineering
1186739;Software and its engineering
1189471;Human-centered computing
1195142;Networks
1214622;Software and its engineering
1228020;Networks
1242075;Networks
1248826;Software and its engineering
1261926;Networks
1270737;Networks
1303073;Software and its engineering
1328973;Software and its engineering
1344179;Software and its engineering
1352199;Software and its engineering
1354419;Applied computing
1366256;Networks
1367068;Software and its engineering
1367228;Software and its engineering
1372746;Human-centered computing
1381021;Software and its engineering
1382032;Information systems
1391701;Applied computing
1397125;Networks
1397723;Software and its engineering
1404659;Human-centered computing
1412018;Human-centered computing
1414836;Networks
1416473;Software and its engineering
1432150;Software and its engineering
1434458;Information systems
1436875;Software and its engineering
1437288;Software and its engineering
1438441;Software and its engineering
1449551;Information systems
1453441;Networks
1457727;Software and its engineering
1471234;Networks
1471568;Networks
1474764;Software and its engineering
1486549;Software and its engineering
1492346;Networks
1500447;Networks
1524373;Human-centered computing
1526024;Computing methodologies
1528221;Networks
1545229;Software and its engineering
1546988;Human-centered computing
1600439;Information systems
1607018;Software and its engineering
1619676;Applied computing
1690743;Human-centered computing
1698522;Networks
1713442;Networks
1749436;Information systems
1764042;Applied computing
1778841;Information systems
1799111;Software and its engineering
1819251;Software and its engineering
1838125;Networks
1852141;Human-centered computing
1886159;Hardware
1890840;Networks
1891776;Networks
1892389;Information systems
1893164;Software and its engineering
1900934;Software and its engineering
1903462;Software and its engineering
1904790;Software and its engineering
1916255;Software and its engineering
1918558;General and reference
1927874;Networks
1927881;Software and its engineering
1949584;Software and its engineering
1961397;Human-centered computing
1964893;Information systems
1965404;Software and its engineering
1977847;Software and its engineering
1989790;Human-centered computing
1991636;Human-centered computing
2001763;Information systems
2020393;Software and its engineering
2051124;Software and its engineering
2145058;Information systems
2146436;Security and privacy
2201979;Human-centered computing
2206890;Information systems
2207463;Mathematics of computation
2213273;Software and its engineering
2229635;Software and its engineering
2241376;Software and its engineering
2244312;Software and its engineering
2244481;Software and its engineering
2246039;Human-centered computing
2249262;Human-centered computing
2250690;Security and privacy
2252680;Human-centered computing
2255699;Human-centered computing
2257096;Networks
2257240;Security and privacy
2266052;Mathematics of computation
2281243;Security and privacy
2281819;Theory of Computation
2294498;Computing methodologies
2312008;Software and its engineering
2315431;Human-centered computing
2337743;Networks
2340614;Human-centered computing
2345204;Networks
2363619;Human-centered computing
2363758;Information systems
2365356;Applied computing
2372421;Empty
2375290;Software and its engineering
2381629;Software and its engineering
2381679;Software and its engineering
2389915;Networks
2404370;Human-centered computing
2409137;Applied computing
2417208;Networks
2421460;Software and its engineering
2422498;Software and its engineering
2434520;Networks
2445228;Applied computing
2447212;Security and privacy
2467228;Empty
2476937;Security and privacy
2480777;Applied computing
2513836;Human-centered computing
2535892;Security and privacy
2572814;Human-centered computing
2601235;Software and its engineering
2624458;Networks
2660015;Software and its engineering
2661903;Human-centered computing
2662867;Software and its engineering
2702530;Software and its engineering
2709309;Software and its engineering
2719572;Software and its engineering
2728868;Human-centered computing
2739871;Software and its engineering
2749609;Human-centered computing
2752178;Networks
2768008;Networks
2771181;Applied computing
2787691;Networks
2796362;Information systems
2798946;Software and its engineering
2801361;Software and its engineering
2807863;Networks
2814268;Software and its engineering
2835325;Human-centered computing
2847808;Networks
2862294;Software and its engineering
2862977;Software and its engineering
2873371;Information systems
2874293;Security and privacy
2875658;Software and its engineering
2886485;Mathematics of computation
2889040;Networks
2909754;Software and its engineering
2922319;Software and its engineering
2922620;Information systems
2923558;Information systems
2940997;Information systems
2945321;Software and its engineering
2978560;Human-centered computing
2987164;Networks
3004769;Software and its engineering
3018979;Human-centered computing
3036595;Networks
3036835;Networks
3040840;Networks
3048906;Software and its engineering
3063823;Information systems
3063870;Empty
3067095;Software and its engineering
3095960;Human-centered computing
3117680;Software and its engineering
3119886;Empty
3122758;Networks
3136825;Networks
3163883;Networks
3168742;Information systems
3173347;Human-centered computing
3180895;Networks
3201792;Software and its engineering
3205751;Networks
3213902;Human-centered computing
3224446;Software and its engineering
3231556;Applied computing
3236423;Networks
3250844;Human-centered computing
3276139;Empty
3283518;Information systems
3286419;Networks
3287419;Human-centered computing
3290625;Software and its engineering
3296518;Human-centered computing
3308302;Software and its engineering
3321949;Empty
3346024;Software and its engineering
3361740;Security and privacy
3368849;Human-centered computing
3370838;Software and its engineering
3389811;Human-centered computing
3407626;Human-centered computing
3413879;Software and its engineering
3427780;Networks
3429645;Networks
3434493;Software and its engineering
3462816;Software and its engineering
3465213;Networks
3487382;Software and its engineering
3498338;Software and its engineering
3499917;Human-centered computing
3513117;Applied computing
3523460;Networks
3524332;Networks
3529137;Networks
3549651;Applied computing
3582345;Applied computing
3592410;Networks
3594572;Networks
3600377;Empty
3610783;Human-centered computing
3631888;Networks
3641172;Software and its engineering
3642978;Software and its engineering
3649472;Software and its engineering
3659421;Applied computing
3664437;Networks
3669790;Networks
3683487;Software and its engineering
3706501;Networks
3708910;Applied computing
3714509;Networks
3716978;Human-centered computing
3752385;Software and its engineering
3756185;Security and privacy
3759006;Software and its engineering
3769056;Networks
3770464;Information systems
3807912;Information systems
3814424;Human-centered computing
3827244;Software and its engineering
3863843;Software and its engineering
3872943;Networks
3874746;Hardware
3877884;Networks
3893356;Networks
3905191;Human-centered computing
3908715;Software and its engineering
3943403;Human-centered computing
3961217;Human-centered computing
3983276;Human-centered computing
3992573;Software and its engineering
3997006;Software and its engineering
4003838;Software and its engineering
4019026;Theory of Computation
4026408;Human-centered computing
4030767;Networks
4035765;Human-centered computing
4045632;Software and its engineering
4052435;Applied computing
4058558;Networks
4069483;Software and its engineering
4092676;General and reference
4115240;Applied computing
4120130;Networks
4136027;Applied computing
4142580;Human-centered computing
4160390;Human-centered computing
4187118;Software and its engineering
4192518;Human-centered computing
4198417;General and reference
4255397;Human-centered computing
4291112;Software and its engineering
4291254;Information systems
4326459;Networks
4339243;Software and its engineering
4342100;Software and its engineering
4420524;Applied computing
4428725;Applied computing
4467262;Networks
4476638;Human-centered computing
4477515;Software and its engineering
4484156;Software and its engineering
4513783;Applied computing
4539094;Software and its engineering
4540322;Networks
4563307;Software and its engineering
4563494;Networks
4569976;Software and its engineering
4583981;Networks
4584491;Information systems
4588007;Networks
4605271;Hardware
4607985;Human-centered computing
4629745;Human-centered computing
4646758;Applied computing
4660569;Applied computing
4663721;Empty
4680920;Computer systems organization
4682471;Networks
4695209;Software and its engineering
4722740;Human-centered computing
4731748;Theory of Computation
4739172;Software and its engineering
4753416;Empty
4773093;Applied computing
4775481;Information systems
4776433;Information systems
4780077;Software and its engineering
4786655;Security and privacy
4809226;Networks
4819374;Human-centered computing
4877698;Applied computing
4879481;Security and privacy
4882831;Software and its engineering
4894767;Software and its engineering
4896516;Theory of Computation
4899910;Networks
4903941;Applied computing
4904730;Human-centered computing
4911527;Software and its engineering
4926223;Software and its engineering
4929815;Human-centered computing
4933925;Applied computing
4963729;Software and its engineering
4988377;Software and its engineering
4992188;Software and its engineering
4993581;Software and its engineering
5041761;Applied computing
5042362;Software and its engineering
5069439;Networks
5074778;Software and its engineering
5078978;Networks
5095078;Hardware
5103160;Networks
5120709;Applied computing
5140545;Human-centered computing
5145060;Networks
5146456;Human-centered computing
5152250;Software and its engineering
5195927;Applied computing
5205541;Networks
5216745;General and reference
5247954;Empty
5304081;Empty
5312058;Human-centered computing
5322239;Mathematics of computation
5350409;Software and its engineering
5368058;Software and its engineering
5371237;Software and its engineering
5377260;Applied computing
5379586;Security and privacy
5384527;Software and its engineering
5398997;Information systems
5399390;Human-centered computing
5411876;General and reference
5427047;General and reference
5428457;Human-centered computing
5430540;Applied computing
5435325;Human-centered computing
5439720;Applied computing
5441485;Information systems
5472160;Software and its engineering
5481554;Empty
5507363;Software and its engineering
5522468;Human-centered computing
5534759;Networks
5548430;Applied computing
5552730;Human-centered computing
5555823;Networks
5565375;Applied computing
5568720;Applied computing
5573155;Applied computing
5593627;Applied computing
5597614;Human-centered computing
5598479;Software and its engineering
5600557;Software and its engineering
5602838;Software and its engineering
5604899;Human-centered computing
5617024;Empty
5630665;Software and its engineering
5636078;Software and its engineering
5718353;Human-centered computing
5731028;Applied computing
5741726;Computing Technologies
5778983;Applied computing
5784154;Software and its engineering
5798893;Security and privacy
5807266;Security and privacy
5812279;Applied computing
5817753;Software and its engineering
5828347;Human-centered computing
5829099;Networks
5846748;General and reference
5927767;Empty
5942149;General and reference
5944667;Networks
5979563;Applied computing
5989485;Software and its engineering
6005713;Software and its engineering
6013073;Human-centered computing
6023112;Empty
6065511;General and reference
6068879;Applied computing
6085795;Software and its engineering
6087555;Human-centered computing
6095575;Networks
6096676;Human-centered computing
6108651;Empty
6126544;Empty
6169171;Human-centered computing
6172020;Software and its engineering
6191402;Human-centered computing
6196408;Software and its engineering
6210932;Human-centered computing
6225214;Networks
6236268;Information systems
6239513;Human-centered computing
6253776;Applied computing
6278048;Software and its engineering
6278863;Security and privacy
6280726;Applied computing
6299920;Software and its engineering
6307815;Software and its engineering
6312005;Human-centered computing
6318240;Software and its engineering
6328765;Human-centered computing
6399055;Networks
6403871;Computer systems organization
6404061;Software and its engineering
6412773;Networks
6441856;Theory of Computation
6442229;Information systems
6451691;Human-centered computing
6457494;Empty
6462793;Human-centered computing
6476825;Theory of Computation
6496393;Software and its engineering
6498079;Human-centered computing
6499244;Networks
6505671;Software and its engineering
6533556;Human-centered computing
6571469;Computer systems organization
6587692;Human-centered computing
6610198;Software and its engineering
6611850;Human-centered computing
6653643;Hardware
6699074;Networks
6704373;Security and privacy
6712024;Human-centered computing
6744736;Human-centered computing
6753616;Software and its engineering
6800846;Software and its engineering
6816151;Computer systems organization
6843683;Applied computing
6853230;Networks
6861499;Networks
6882788;Software and its engineering
6916565;Software and its engineering
6962535;Applied computing
6965555;Human-centered computing
6965574;Human-centered computing
6970257;Software and its engineering
6988298;Human-centered computing
6988998;Human-centered computing
7001356;General and reference
7013556;Human-centered computing
7019686;Software and its engineering
7075652;Information systems
7089559;Networks
7105340;General and reference
7113913;Software and its engineering
7132386;Applied computing
7146853;Human-centered computing
7147408;Applied computing
7158417;General and reference
7164842;Software and its engineering
7170693;Software and its engineering
7182205;General and reference
7189065;Applied computing
7190023;Networks
7198962;Security and privacy
7199692;General and reference
7212462;General and reference
7215130;Software and its engineering
7222746;Human-centered computing
7228519;General and reference
7240106;Information systems
7249970;Networks
7258997;Human-centered computing
7259889;Networks
7260288;Software and its engineering
7266288;Networks
7276482;General and reference
7294438;General and reference
7304063;Software and its engineering
7305150;Software and its engineering
7306369;Security and privacy
7306673;Applied computing
7308213;Software and its engineering
7326980;Human-centered computing
7344511;Applied computing
7361572;Software and its engineering
7383416;Software and its engineering
7412153;Applied computing
7420900;Information systems
7432562;Software and its engineering
7461031;Security and privacy
7489584;Applied computing
7504851;Applied computing
7537997;Applied computing
7553911;Networks
7556976;Human-centered computing
7570729;Applied computing
7607012;General and reference
7617634;Networks
7623896;Applied computing
7645899;Empty
7654253;Software and its engineering
7658667;Software and its engineering
7666955;General and reference
7722836;General and reference
7732133;Applied computing
7738640;Security and privacy
7751311;Applied computing
7753732;General and reference
7769665;General and reference
7808122;Theory of Computation
7810452;Information systems
7811703;General and reference
7835118;Applied computing
7846270;Software and its engineering
7883108;Software and its engineering
7883561;Computer systems organization
7890973;General and reference
7924929;Applied computing
7940296;Software and its engineering
7952993;Software and its engineering
7980702;General and reference
7990763;Applied computing
8012811;Applied computing
8017772;Hardware
8091268;Applied computing
8117762;General and reference
8117944;Mathematics of computation
8125526;Software and its engineering
8137228;General and reference
8142691;Software and its engineering
8162617;Information systems
8169424;Software and its engineering
8170478;Applied computing
8194675;Software and its engineering
8228397;Software and its engineering
8270641;Empty
8296041;Human-centered computing
8313244;General and reference
8339162;Security and privacy
8339915;Hardware
8346508;Networks
8387817;Security and privacy
8390641;Applied computing
8404580;Software and its engineering
8405131;Networks
8416517;Software and its engineering
8427119;Software and its engineering
8450572;Networks
8475145;Applied computing
8485455;Human-centered computing
8515356;Human-centered computing
8532385;Applied computing
8532554;Networks
8566806;Human-centered computing
8576259;Software and its engineering
8596480;Networks
8634501;Applied computing
8670482;Networks
8688328;Networks
8732866;General and reference
8734343;Software and its engineering
8742938;Applied computing
8758294;Human-centered computing
8769923;Information systems
8772689;Information systems
8776028;Software and its engineering
8784767;Human-centered computing
8789813;Applied computing
8817056;Computing methodologies
8818018;Software and its engineering
8837968;Empty
8847632;General and reference
8854423;General and reference
8875437;Networks
8875464;Networks
8905797;Networks
8906917;Human-centered computing
8913435;Software and its engineering
8939716;Applied computing
8944249;Networks
8984199;Empty
9026379;Human-centered computing
9041360;Software and its engineering
9051214;Software and its engineering
9062615;General and reference
9078570;Human-centered computing
9095732;Software and its engineering
9121894;Applied computing
9139436;General and reference
9152395;Applied computing
9160279;Human-centered computing
9232309;General and reference
9240557;Software and its engineering
9245754;Security and privacy
9255018;Applied computing
9268752;Networks
9282939;Software and its engineering
9343717;Human-centered computing
9344074;Software and its engineering
9346606;General and reference
9352549;Software and its engineering
9356105;Mathematics of computation
9358405;Software and its engineering
9380376;Empty
9382176;Empty
9392393;Human-centered computing
9394397;Software and its engineering
9400432;Software and its engineering
9464549;Empty
9468307;Networks
9478333;Software and its engineering
9504109;Networks
9511165;Software and its engineering
9540082;General and reference
9570005;Software and its engineering
9589511;Software and its engineering
9597076;Software and its engineering
9599053;Information systems
9600790;Software and its engineering
9626183;Security and privacy
9650960;Software and its engineering
9658872;Networks
9659919;Empty
9664486;Software and its engineering
9677139;Software and its engineering
9687174;General and reference
9701410;Applied computing
9701695;Information systems
9703605;Networks
9704915;Security and privacy
9706049;Applied computing
9709068;Software and its engineering
9709116;Software and its engineering
9717218;Security and privacy
9726637;Applied computing
9727940;General and reference
9745677;Human-centered computing
9755937;General and reference
9777067;Networks
9814221;Computing methodologies
9817959;Human-centered computing
9843828;Human-centered computing
