"`id`","`avg_followers`"
"799","30.4556"
"1182","54.7027"
"1742","79.1111"
"4068","149.9531"
"4346","391.8000"
"5124","17.1056"
"5874","268.2941"
"7233","123.2695"
"7982","509.5769"
"9682","140.2836"
"9716","16.1556"
"10798","176.7673"
"11902","141.3576"
"12258","89.4808"
"14061","78.8857"
"17411","27.0000"
"18571","55.0328"
"19626","33.7321"
"19806","164.3182"
"19996","148.1250"
"23122","250.1875"
"23605","1116.6429"
"23834","175.0714"
"28054","56.4390"
"28069","76.2154"
"28204","34.1398"
"29914","393.6947"
"54491","42.9259"
"96553","50.9091"
"119977","59.7222"
"158753","58.8846"
"182702","13.8472"
"219601","101.8889"
"243431","132.1739"
"280617","51.0000"
"328815","58.5000"
"696102","53.1131"
"784448","6.6667"
"1001578","24.5500"
"1432150","155.6071"
"1528221","14.9528"
"1698522","75.3333"
"1927874","193.6667"
"1961397","28.7692"
"2363619","402.8462"
"2363758","58.2500"
"3201792","89.3333"
"3346024","49.4671"
"3368849","60.2500"
"3716978","45.4444"
"3759006","35.1765"
"3863843","18.7059"
"4198417","129.6634"
"4588007","16.7083"
"4605271","137.0000"
"4877698","42.9231"
"4963729","140.6000"
"5435325","93.5000"
"5507363","88.5714"
"6096676","212.2414"
"6278048","138.4043"
"6312005","51.1053"
"6699074","98.0811"
"6712024","233.6250"
"6843683","4.5000"
"6988998","1024.0000"
"7001356","31.6667"
"7019686","33.7660"
"7212462","30.0408"
"7240106","233.1867"
"7260288","89.1429"
"7304063","188.0000"
"7666955","60.2632"
"7751311","34.6739"
"8017772","101.7965"
"8776028","27.2857"
"8906917","111.7857"
"9232309","26.3095"
"9570005","366.2500"
"9906217","84.2714"
"9961002","94.0000"
"10425716","783.8000"
"10464490","593.6667"
"10548198","57.6154"
"10576004","121.3494"
"10815238","67.8667"
"10947458","143.6000"
"11132347","15.2143"
"11144636","39.4091"
"11238565","575.6923"
"11588385","82.0000"
"11784159","171.8235"
"11854803","148.7647"
"12682828","698.0000"
"12740796","32.0370"
"12798077","5881.0000"
"12908987","261.6000"
"13403042","224.5000"
"13462180","10.1250"
"13520780","156.3333"
"13593152","304.3333"
"13595364","13.6667"
"13679102","469.6667"
"13737011","86.4783"
"14505051","19.1250"
"14545279","113.7619"
"14782669","121.3333"
"14959628","2157.0000"
"15592045","312.3143"
"15778405","55.7826"
"16837900","36.4545"
"18257960","176.7083"
"18313948","36.3333"
"18674058","468.5000"
"18847237","12.8333"
"18869596","203.3333"
"19010386","62.3636"
"21924858","23.0000"
"22042237","55.5833"
"25070656","14.0000"
"27623476","212.0000"
"28401052","252.0000"
"28992266","133.7857"
"6","29.4550"
"735","128.4000"
"1022","183.1667"
"1207","52.2756"
"1305","163.7500"
"1615","35.7333"
"1743","38.6667"
"2746","10.4828"
"3430","114.8500"
"3595","402.0000"
"4021","143.0109"
"4095","51.9784"
"4276","40.0000"
"5184","79.8333"
"5626","24.9728"
"6009","55.4000"
"6223","62.2500"
"7059","103.7059"
"8525","245.4800"
"11435","45.1493"
"11820","12.2931"
"12830","77.2372"
"12885","68.3087"
"13235","363.1667"
"14098","37.1781"
"14622","33.5000"
"14763","20.9286"
"15728","90.0000"
"15756","39.9310"
"16462","1631.6735"
"16820","86.1220"
"16836","16.3846"
"19640","161.3333"
"20138","116.3529"
"21274","201.1449"
"22086","500.6842"
"23301","76.9231"
"26624","88.7338"
"27194","125.0000"
"28009","154.2500"
"30738","40.1200"
"33565","114.0000"
"36413","136.2407"
"40389","578.6471"
"41498","1416.7619"
"59607","517.5455"
"141261","45.3846"
"167303","77.0000"
"181526","92.7222"
"651549","1539.8462"
"683351","124.6765"
"1270737","370.5556"
"1366256","19.7143"
"1367228","56.9375"
"1404659","282.0000"
"1437288","12.0317"
"1438441","134.8341"
"1457727","21.8400"
"1474764","150.0833"
"1749436","52.0714"
"2294498","31.9048"
"2389915","58.6774"
"2922319","97.0000"
"3213902","72.3333"
"3321949","73.8462"
"3427780","192.2857"
"3434493","40.6296"
"3649472","29.5833"
"3714509","46.5000"
"3807912","15.8333"
"3905191","88.8069"
"4120130","106.1500"
"4484156","45.2308"
"4926223","204.2500"
"5216745","256.9259"
"5399390","165.7143"
"5828347","15.1406"
"6403871","19.7143"
"6441856","43.5500"
"6462793","743.0000"
"7222746","52.0000"
"7489584","21.9677"
"7607012","20.4000"
"7769665","131.4545"
"8125526","192.7778"
"9121894","830.6538"
"9478333","50.2609"
"9701695","53.5484"
"10053600","42.0000"
"10084678","81.9701"
"10172529","321.8462"
"10301817","46.9552"
"10379711","185.8889"
"10784470","635.1250"
"10832091","144.2500"
"10910878","84.6667"
"11182376","39.4000"
"11473240","52.4167"
"11744765","120.3000"
"12226983","172.5833"
"12666384","172.0000"
"12821674","615.4091"
"13061306","164.5455"
"13071706","38.0000"
"13613053","283.2118"
"13642463","54.4815"
"14101318","179.6000"
"14682420","70.8144"
"14989257","98.5556"
"15246185","58.0000"
"15525750","17.9706"
"15548976","1917.0000"
"15710174","15.7500"
"16647116","41.1538"
"16741757","21.2105"
"16782015","29.5484"
"17753126","110.0000"
"17865733","55.0000"
"19710500","95.0000"
"21058198","47.3457"
"21971963","48.3333"
"22077026","59.9000"
"24495953","163.0000"
"25037257","1739.3333"
"25051824","281.0000"
"27326987","42.0000"
"27406305","79.0000"
"231","140.7957"
"280","51.6000"
"334","99.6621"
"3457","73.8000"
"4432","346.8000"
"4654","104.2000"
"4846","213.8707"
"5478","62.5714"
"6848","296.0580"
"7836","46.4430"
"8127","41.2611"
"8304","43.6190"
"8329","98.2500"
"8566","123.9556"
"8833","51.7778"
"9951","345.3043"
"10070","65.4955"
"10197","970.8750"
"10912","155.3951"
"12031","206.5676"
"12831","56.9623"
"14952","83.6739"
"15433","50.1000"
"15762","33.8318"
"16639","59.5581"
"17165","189.6012"
"17742","172.8387"
"18045","141.5185"
"22321","24.9643"
"23238","147.1000"
"23888","2082.0000"
"24326","1128.0000"
"24559","48.3496"
"24603","503.0333"
"24889","114.3333"
"24960","68.7273"
"29172","153.8000"
"31366","180.5000"
"32638","17.7931"
"34288","1385.8750"
"50875","140.7434"
"54351","138.5714"
"84341","1080.2727"
"106864","74.0952"
"112249","56.0313"
"114167","34.6000"
"149332","86.4848"
"743378","391.7143"
"812923","370.0000"
"1344179","341.3509"
"1397723","31.4286"
"1991636","58.0345"
"2257240","73.1935"
"2847808","58.9231"
"3513117","147.0000"
"3523460","93.5000"
"3524332","168.7000"
