"`project_id`","`max_followers`"
"231","758"
"280","120"
"392","6063"
"788","66"
"1182","9178"
"1207","3005"
"1615","123"
"1799","250"
"1962","1259"
"2146","1583"
"4021","319"
"4068","814"
"4095","653"
"4267","157"
"4432","2669"
"4654","440"
"4711","21019"
"5124","450"
"5874","2718"
"6053","3281"
"6223","290"
"6313","19383"
"6413","9178"
"6848","8168"
"7233","252"
"7756","814"
"8127","530"
"8304","998"
"8329","174"
"8525","16582"
"8892","33"
"9259","8168"
"9709","1954"
"9951","1769"
"10070","6052"
"10579","174"
"10798","3005"
"10912","4483"
"12031","7566"
"12258","4651"
"13436","117"
"13718","505"
"15433","186"
"15762","518"
"16639","10326"
"17411","338"
"18090","1136"
"18941","133"
"19019","648"
"19626","467"
"21218","32"
"21530","1354"
"21621","68"
"22321","130"
"22551","113"
"22772","332"
"23301","10326"
"23670","86"
"24177","121"
"24559","536"
"24603","5412"
"25986","1769"
"26624","688"
"26636","1583"
"26688","211"
"27046","1059"
"28069","2046"
"29914","4807"
"30402","88"
"30738","154"
"32023","5011"
"33565","4"
"36713","1583"
"37623","35"
"38744","182"
"39027","814"
"45702","1"
"54351","2046"
"58642","367"
"59607","3225"
"59830","159"
"64212","648"
"78782","332"
"84341","17709"
"90988","24"
"96553","1150"
"99731","13"
"113880","21019"
"114167","1155"
"114751","215"
"118551","1400"
"120707","201"
"124505","866"
"149332","544"
"158753","195"
"159999","389"
"164085","137"
"167303","277"
"167985","161"
"169529","67"
"181526","1462"
"206270","1134"
"244129","14"
"244417","15"
"246730","133"
"262948","9"
"267105","441"
"267717","73"
"284075","113"
"285798","503"
"319466","1566"
"321869","315"
"343698","43"
"357887","182"
"374916","304"
"383256","99"
"427496","217"
"519333","59"
"569534","2718"
"572040","225"
"576260","462"
"615055","53"
"683351","1150"
"686542","2718"
"696102","342"
"718118","2395"
"723307","101"
"726806","60"
"811401","87"
"1001578","180"
"1008365","572"
"1084208","65"
"1270737","4940"
"1344179","7566"
"1352199","177"
"1366256","93"
"1367068","2379"
"1367228","118"
"1381021","384"
"1397723","85"
"1412018","41"
"1438441","987"
"1453441","12"
"1471234","136"
"1500447","5"
"1524373","2"
"1528221","197"
"1546988","71"
"1619676","9178"
"1690743","259"
"1698522","213"
"1838125","70"
"1890840","97"
"1903462","809"
"1927881","81"
"1961397","73"
"1977847","51"
"2244481","97"
"2294498","233"
"2535892","61"
"2661903","184"
"2662867","613"
"2749609","43"
"2796362","25"
"2814268","317"
"2835325","68"
"2847808","595"
"2922319","3457"
"2923558","3457"
"2945321","83"
"3122758","1150"
"3136825","49"
"3168742","88"
"3250844","12"
"3276139","3708"
"3434493","106"
"3498338","159"
"3642978","16582"
"3649472","182"
"3664437","39"
"3706501","86"
"3756185","17709"
"3807912","21"
"3905191","2228"
"4136027","41"
"4428725","48"
"4477515","462"
"4513783","1264"
"4563494","470"
"4584491","84"
"4605271","696"
"4882831","355"
"4894767","21019"
"4911527","2669"
"4963729","31"
"5095078","6"
"5205541","48"
"5565375","17"
"5600557","145"
"5630665","86"
"5778983","16"
"5807266","108"
"5828347","206"
"5846748","19"
"6065511","97"
"6172020","416"
"6236268","62"
"6239513","186"
"6253776","1534"
"6412773","330"
"6442229","448"
"6498079","21"
"6611850","227"
"6653643","132"
"6699074","629"
"6704373","639"
"6712024","857"
"6816151","125"
"6861499","562"
"6965555","1295"
"6965574","1295"
"6970257","1015"
"6988998","1400"
"7019686","316"
"7075652","10"
"7113913","371"
"7147408","5"
"7158417","530"
"7189065","1661"
"7190023","121"
"7212462","156"
"7228519","586"
"7266288","197"
"7306369","10326"
"7306673","336"
"7489584","15"
"7607012","223"
"7617634","159"
"7654253","223"
"7722836","266"
"7738640","92"
"7751311","268"
"7753732","351"
"7810452","8168"
"7883561","4483"
"7940296","122"
"8017772","671"
"8125526","671"
"8313244","40"
"8387817","136"
"8405131","16582"
"8566806","107"
"8576259","1015"
"8634501","21019"
"8688328","218"
"8734343","61"
"8818018","1918"
"8875464","19"
"8939716","158"
"9121894","11829"
"9268752","211"
"9282939","3622"
"9382176","102"
"9400432","229"
"9478333","1484"
"9599053","225"
"9626183","8556"
