`id`,`nr-of-accepted-requests`
6,5664
231,192
280,6
334,141
391,9
392,2800
675,70
735,46
788,14
799,97
982,22
1022,15
1182,544
1207,994
1305,11
1615,39
1620,78
1742,14
1743,159
1799,1465
1819,9
1962,416
1996,9
2146,69
2204,4
2727,32
2746,216
2864,32
3052,13
3386,61
3430,13
3457,44
3623,127
3648,6
3751,3
3928,25
4021,33
4068,476
4095,339
4267,137
4276,24
4281,6
4346,2
4432,1
4473,9
4654,8
4711,1046
4846,152
4929,41
5124,454
5161,41
5184,55
5455,448
5478,10
5497,15
5626,251
5629,67
6009,8
6053,2
6223,27
6313,201
6413,131
6848,72
6931,3
6978,51
7059,34
7149,23
7233,127
7317,53
7756,340
7836,98
7982,36
8127,1585
8184,337
8329,3
8390,6
8525,270
8566,59
8833,100
8892,104
9259,98
9383,8
9682,72
9716,68
9951,27
10070,1642
10197,67
10512,18
10579,9
10594,107
10686,5
10798,120
10912,1311
11067,3
11435,121
11820,153
12031,771
12257,2
12258,344
12830,630
12831,39
12885,392
13235,24
13436,60
13718,96
13747,4
13929,1
14061,43
14098,114
14622,4
14763,12
14952,122
15433,28
15728,40
15756,132
15762,1269
16113,4
16376,7
16462,19
16639,31
16820,40
16836,17
17000,147
17165,178
17730,6
17742,22
17798,50
18003,7
18045,14
18090,69
18571,87
18601,6
19019,2
19030,10
19375,2
19579,6
19626,81
19640,2
19806,16
19996,3
20138,41
20678,19
21218,21
21274,61
21530,54
21621,299
22086,19
22321,59
22528,161
22551,53
22772,3
23085,12
23122,17
23238,41
23301,54
23429,4
23605,32
23670,39
23834,276
23888,6
24177,8
24213,16
24522,10
24559,206
24603,26
24889,1
24960,10
25016,19
25359,25
25380,44
25986,20
26624,236
26636,42
26688,92
27046,568
28009,15
28054,38
28069,60
28204,121
28556,66
28576,25
29172,10
29762,68
29914,78
29991,35
30402,258
30738,21
31283,12
31366,33
32023,99
32107,3
32638,20
33227,3
33565,61
33656,37
34288,5
35473,14
36413,43
36591,2
36713,229
37623,5
37778,4
38658,4
38744,78
39027,76
39044,4
39075,301
40389,75
41498,6
42948,1
43969,3
45141,5
45669,5
48829,5
49570,8
50875,74
53018,4
53286,53
54351,48
54491,38
54745,5
54785,3
56374,99
58642,6
58903,16
59607,6
59830,8
64212,77
64390,9
64654,40
65772,1
70499,8
74160,4
84341,10
85800,6
87135,20
87869,13
96553,251
96689,32
98743,11
99731,2
100266,1
102179,119
106815,1
106864,27
110992,3
112249,28
112262,1
112292,3
113880,7
114167,1650
116162,3
118048,9
118551,5
119275,3
119977,7
120216,2
120707,16
123356,3
124505,59
126778,6
131286,21
141145,6
141261,5
142406,1
149332,31
150716,1
153822,13
154114,1
156773,1
158753,211
159999,13
164085,6
167194,11
167303,12
167985,18
169454,5
169529,10
176492,3
180685,9
181526,469
182702,54
185861,8
189681,27
204692,39
205834,2
206270,1
214505,2
216447,32
219601,22
220953,2
222916,1
223537,6
224435,9
231026,35
233193,2
242564,6
243431,18
244129,13
244417,32
255320,9
260066,3
262948,2
263107,1
267105,20
267717,6
276344,3
280617,5
284018,1
285798,5
306908,3
309661,2
311780,9
313268,19
319466,3
321869,626
323565,14
326476,5
328815,11
337343,10
343698,7
344063,4
357887,5
362053,1
362894,13
363605,2
374916,7
414089,5
419651,11
427496,2
440795,6
445199,7
450328,2
499056,3
543497,16
572040,44
576260,1
615055,5
643697,8
651549,14
683351,320
696102,1068
705818,1
718118,2
723307,2
724361,1
738430,48
742622,6
743378,2
750986,1
771049,1
784448,2
811373,1
812923,1
839143,1
927777,6
1001578,5
1008365,10
1036996,2
1059797,4
1093294,3
1117036,1
1195142,1
1270737,143
1344179,123
1352199,115
1354419,38
1366256,5
1367068,4
1367228,15
1372746,3
1381021,87
1391701,3
1397723,5
1404659,1
1416473,37
1432150,19
1434458,41
1437288,59
1438441,265
1453441,1
1457727,31
1471234,1
1486549,13
1526024,1
1528221,1273
1545229,6
1546988,1
1690743,32
1698522,95
1713442,99
1749436,47
1764042,2
1778841,16
1838125,7
1852141,5
1891776,5
1893164,2
1900934,14
1903462,1
1916255,1
1918558,2
1927874,8
1961397,30
1964893,1
1965404,1
1977847,12
1989790,225
1991636,7
2146436,2
2213273,1
2241376,1
2244312,3
2244481,7
2246039,3
2249262,2
2250690,15
2257096,17
2266052,2
2281819,14
2294498,393
2312008,1
2337743,1
2340614,8
2345204,6
2363619,8
2363758,391
2372421,5
2381629,5
2389915,19
2404370,5
2417208,1
2421460,1
2476937,2
2535892,2
2702530,1
2719572,1
2728868,46
2752178,15
2768008,22
2787691,1
2796362,5
2807863,6
2814268,2
2835325,11
2847808,105
2862294,18
2875658,1
2889040,13
2922319,11
2923558,14
3018979,17
3048906,7
3067095,3
3117680,1
3122758,2
3136825,304
3168742,19
3180895,1
3201792,25
3213902,9
3250844,1
3276139,49
3286419,11
3287419,1
3290625,951
3321949,54
3346024,156
3361740,5
3368849,11
3389811,2
3413879,30
3427780,4
3434493,20
3462816,1
3465213,12
3498338,11
3513117,17
3523460,4
3524332,5
3529137,2
3582345,20
3610783,30
3642978,61
3649472,5
3664437,133
3669790,1
3714509,1
3716978,10
3756185,5
3759006,17
3769056,1
3770464,1
3807912,7
3827244,1
3863843,23
3874746,2
3893356,1
3905191,772
3908715,1
3983276,3
3992573,13
4003838,103
4019026,9
4035765,1
4069483,3
4115240,2
4120130,9
4136027,6
4160390,9
4192518,1
4198417,83
4255397,6
4326459,1
4342100,3
4420524,1
4428725,4
4467262,5
4484156,21
4513783,23
4563307,7
4563494,1386
4584491,25
4588007,14
4605271,2
4663721,4
4695209,53
4786655,1
4819374,37
4877698,20
4879481,1
4882831,36
4894767,33
4904730,2
4926223,1
4933925,4
4963729,10
4988377,6
4992188,73
5042362,2
5074778,56
5095078,59
5120709,2
5140545,13
5145060,7
5146456,6
5195927,1
5205541,6
5216745,19
5312058,17
5377260,3
5399390,10
5411876,1
5428457,4
5430540,4
5435325,7
5507363,44
5522468,26
5534759,8
5552730,4
5565375,5
5593627,1
5597614,1
5598479,61
5600557,8
5602838,4
5604899,29
5617024,12
5630665,4
5636078,29
5718353,1
5741726,11
5807266,32
5817753,42
5828347,343
5846748,30
5942149,12
5944667,1
6065511,6
6068879,3
6085795,2
6087555,1
6095575,1
6096676,10
6169171,3
6172020,66
6191402,1
6236268,38
6239513,1
6253776,5
6278048,30
6280726,2
6312005,12
6318240,1
6328765,19
6399055,2
6403871,5
6404061,2
6412773,38
6441856,16
6442229,38
6451691,4
6462793,2
6496393,163
6587692,1
6611850,9
6653643,277
6699074,80
6704373,4
6712024,2
6800846,2
6861499,5
6916565,3
6970257,2
6988298,1
6988998,10
7001356,31
7019686,25
7075652,4
7105340,2
7113913,5
7132386,4
