"`id`","`nr_of_devs`"
"6","553"
"231","94"
"280","12"
"334","162"
"391","9"
"392","334"
"675","78"
"735","38"
"788","72"
"799","113"
"982","39"
"1022","13"
"1182","118"
"1207","193"
"1305","8"
"1615","31"
"1620","67"
"1742","29"
"1743","214"
"1799","187"
"1819","6"
"1962","40"
"1996","13"
"2146","56"
"2204","5"
"2727","89"
"2746","86"
"2864","40"
"3052","15"
"3386","38"
"3430","22"
"3457","6"
"3595","61"
"3623","101"
"3648","6"
"3928","25"
"4003","1"
"4021","93"
"4068","201"
"4095","153"
"4267","61"
"4276","46"
"4281","10"
"4346","5"
"4432","10"
"4473","12"
"4654","10"
"4711","497"
"4846","120"
"4929","33"
"5124","221"
"5161","25"
"5184","74"
"5455","394"
"5478","19"
"5497","22"
"5626","191"
"5629","91"
"5874","19"
"6009","15"
"6053","8"
"6223","31"
"6313","231"
"6413","55"
"6848","71"
"6931","6"
"6978","29"
"7059","35"
"7149","18"
"7233","145"
"7317","63"
"7756","46"
"7836","98"
"7982","26"
"8127","417"
"8184","250"
"8304","23"
"8329","8"
"8390","46"
"8525","128"
"8566","46"
"8833","71"
"8892","57"
"9259","119"
"9383","14"
"9682","69"
"9709","5"
"9713","3"
"9716","57"
"9951","25"
"10070","740"
"10197","32"
"10462","286"
"10512","17"
"10579","16"
"10594","14"
"10649","1"
"10686","10"
"10798","167"
"10912","177"
"11435","76"
"11820","90"
"11902","177"
"12031","347"
"12257","7"
"12258","409"
"12830","233"
"12831","60"
"12885","312"
"13235","57"
"13436","32"
"13718","70"
"13747","7"
"14061","36"
"14098","87"
"14622","12"
"14763","18"
"14952","101"
"15433","31"
"15728","18"
"15756","91"
"15762","411"
"16113","3"
"16376","4"
"16462","50"
"16639","45"
"16820","50"
"16836","14"
"17000","88"
"17165","167"
"17411","26"
"17730","10"
"17742","33"
"17798","47"
"18003","11"
"18045","28"
"18090","74"
"18571","68"
"18601","10"
"18941","3"
"19030","7"
"19375","6"
"19579","7"
"19626","61"
"19640","3"
"19806","24"
"19996","8"
"20138","38"
"20678","10"
"21218","30"
"21274","70"
"21530","31"
"21621","32"
"22086","19"
"22321","34"
"22528","124"
"22551","39"
"23085","13"
"23122","17"
"23238","20"
"23301","54"
"23605","28"
"23670","21"
"23834","234"
"23888","9"
"24177","16"
"24213","9"
"24326","4"
"24522","7"
"24559","136"
"24603","31"
"24889","6"
"24960","25"
"25016","5"
"25359","13"
"25380","37"
"25986","14"
"26624","317"
"26636","38"
"26688","87"
"27046","28"
"27194","4"
"28009","22"
"28054","43"
"28069","70"
"28204","104"
"28556","43"
"28576","22"
"29172","15"
"29762","45"
"29914","95"
"29991","31"
"30402","164"
"30653","1"
"30738","25"
"30761","2"
"31283","5"
"31366","38"
"32023","93"
"32107","3"
"32638","32"
"33227","4"
"33565","77"
"33656","21"
"34288","8"
"35473","14"
"36313","3"
"36413","56"
