"`id`","`number_of_commits`"
"6","36342"
"231","2238"
"280","334"
"334","1754"
"391","223"
"392","19877"
"675","654"
"735","593"
"788","30850"
"799","11228"
"982","358"
"1022","112"
"1182","3944"
"1207","7240"
"1305","138"
"1615","546"
"1620","4230"
"1742","277"
"1743","1513"
"1799","22475"
"1819","40"
"1962","2479"
"1996","548"
"2146","3876"
"2204","27"
"2727","1013"
"2746","7205"
"2864","818"
"3052","154"
"3386","332"
"3430","343"
"3457","312"
"3595","931"
"3623","818"
"3648","178"
"3751","639"
"3928","545"
"4003","80"
"4021","1509"
"4068","32695"
"4095","22733"
"4267","4075"
"4276","962"
"4281","515"
"4346","76"
"4432","241"
"4473","190"
"4654","294"
"4711","2337"
"4846","1690"
"4929","2145"
"5124","6503"
"5161","459"
"5184","1248"
"5455","11249"
"5478","224"
"5497","328"
"5626","5944"
"5629","1072"
"5874","787"
"6009","625"
"6053","80"
"6223","3110"
"6313","8158"
"6413","1790"
"6848","631"
"6931","134"
"6978","221"
"7059","387"
"7149","246"
"7233","1789"
"7317","442"
"7756","3735"
"7836","2076"
"7982","1199"
"8127","16725"
"8184","2298"
"8304","11610"
"8329","31"
"8390","4585"
"8525","1789"
"8566","467"
"8833","772"
"8892","892"
"9259","1665"
"9383","109"
"9682","881"
"9709","58"
"9713","21"
"9716","633"
"9951","353"
"10070","13765"
"10197","1581"
"10462","8893"
"10512","104"
"10579","64"
"10594","520"
"10649","92"
"10686","95"
"10798","1367"
"10912","7080"
"11067","26"
"11435","4007"
"11820","2318"
"11902","2619"
"12031","23120"
"12257","226"
"12258","3424"
"12830","9080"
"12831","1740"
"12885","4446"
"13235","518"
"13436","919"
"13718","3812"
"13747","57"
"13929","118"
"14061","387"
"14098","7761"
"14622","515"
"14763","71"
"14952","1554"
"15433","376"
"15728","298"
"15756","1199"
"15762","14528"
"16113","27"
"16376","903"
"16462","534"
"16639","379"
"16820","459"
"16836","251"
"17000","1289"
"17165","1177"
"17411","15879"
"17730","161"
"17742","202"
"17798","284"
"18003","124"
"18045","266"
"18090","241"
"18250","42"
"18571","349"
"18601","190"
"18941","4"
"19019","135"
"19030","1130"
"19375","65"
"19579","122"
"19615","1"
"19626","5014"
"19640","35"
"19806","249"
"19996","82"
"20138","167"
"20678","174"
"21218","203"
"21274","590"
"21530","458"
"21621","7403"
"22086","76"
"22321","1824"
"22528","2473"
"22551","2093"
"22772","253"
"23085","101"
"23122","168"
"23238","180"
"23301","730"
"23429","49"
"23605","289"
"23670","189"
"23834","2385"
"23888","73"
"24177","256"
"24213","991"
"24326","95"
"24522","70"
"24559","3556"
"24603","260"
"24889","118"
