"`id`","`max_followers`"
"1492346","4"
"3036835","3"
"5398997","2"
"6457494","4"
"7344511","2"
"7412153","2"
"8117944","2"
"8346508","3"
"8854423","6"
"9382176","40"
"9677139","969"
"9814221","1"
"10123492","4"
"10541844","2"
"10859865","9"
"12350238","17"
"13808342","5"
"14756103","1"
"15285403","4"
"15563546","1"
"15998060","32"
"16550843","7"
"16691009","6"
"17373284","556"
"17746668","25"
"17921081","103"
"17982701","595"
"18258297","1"
"18418200","112"
"19552315","2379"
"19823479","29"
"20265215","237"
"20311740","232"
"20647545","4"
"25944077","5"
"27051487","3"
