`id`,`max_followers`
11067,428
19019,241
70499,83
169529,67
223537,352
276344,14
285798,129
307612,16
344063,126
546329,40
652682,175
979207,89
1195142,1655
1453441,12
1607018,24
1838125,70
1916255,55
2146436,84
2312008,7
2315431,8
2709309,1030
2801361,36
2940997,7374
3287419,6
3429645,160
3462816,29
3769056,11704
3983276,53
4255397,269
4607985,44
4776433,696
5597614,35
6236268,62
6307815,159
6404061,1222
7383416,11704
7732133,25
8228397,115
8387817,92
9511165,1122
9664486,1585
10084609,44
10473430,737
11066875,44
11080800,76
11662013,17
12262320,15
12806676,7
13570263,3184
13636760,17
14000694,47
14263163,46
15573016,59
15718946,28
16020916,52
16834666,10
17539972,21
17593904,7
18028838,2
18272904,441
19122404,148
20752407,905
21908633,52
22208853,286
25954906,8
26674333,1
231,2507
280,187
334,6239
392,1958
675,1811
1799,395
2146,1067
3457,257
4432,2669
4711,8556
4929,1174
5455,1864
6313,19383
6413,280
6848,8168
7317,545
7836,483
8127,1550
8304,135
8329,254
8566,1967
8833,421
9259,7374
9951,1769
12031,7566
12831,655
14952,1263
15433,234
16639,417
17165,3005
17742,1738
18045,1774
22321,105
23238,2261
23888,15704
24326,2834
24603,5263
24889,224
24960,846
25380,322
28556,435
29172,1528
31366,2759
32638,89
34288,8514
39044,1132
54351,2046
84341,17709
106864,794
112249,428
114167,1155
149332,961
743378,1460
812923,563
1344179,7566
1397723,85
1991636,656
2257240,1661
2281819,280
2847808,762
3523460,444
3524332,449
3529137,176
3610783,794
3992573,198
4115240,89
4904730,660
5140545,364
5312058,818
5522468,311
5534759,457
5604899,4283
5636078,310
5741726,203
5817753,334
5846748,542
6172020,416
6328765,883
6442229,1354
6988298,283
7215130,268
7266288,462
7570729,15704
7753732,1821
7835118,8514
7980702,479
8905797,2027
9706049,114
9727940,230
9908329,771
10188194,474
10377821,804
10396798,16
11061859,110
11139593,476
11227723,1026
11467831,55
11494393,2742
11761587,293
11785544,178
11850935,162
12170217,266
12682853,248
12746037,11704
12814859,781
13393204,302
13640327,114
13680016,136
13742311,22
13837159,1572
13865588,30
14210902,244
15017277,89
15022227,351
15125364,1401
15627284,245
15676204,444
16310355,346
16988139,434
17296591,1069
18054793,1967
18236982,1196
18469788,111
18655199,846
18810686,307
18821370,705
18904813,8556
19185130,89
19320997,3831
20450716,110
20532547,616
21629316,537
22041659,402
22046894,664
22084327,948
22105376,2629
27299735,879
27859042,76
28625357,27
788,135
982,1001
1620,456
1996,270
2727,991
3386,968
3623,2742
3928,715
5161,268
7149,1725
8184,7374
8390,593
16376,168
17730,364
17798,952
21218,871
21621,76
22528,4651
26688,2397
29762,551
29991,2363
31283,404
32023,7566
36713,10917
39027,182
56374,1201
61117,98
64390,1118
156773,3225
204692,1211
222916,118
231026,968
267105,441
311780,76
362053,147
419651,344
572040,225
718118,216
723307,77
738430,544
742622,204
1381021,581
1416473,10917
1434458,262
1486549,69
1526024,151
1891776,307
1900934,295
2252680,97
2404370,1480
2728868,5943
2752178,76
2796362,139
2875658,134
2923558,788
3250844,12
3642978,245
3664437,1201
4003838,2905
4563307,191
4563494,805
4819374,696
5593627,118
5598479,3225
5600557,182
5617024,1238
6068879,461
6496393,375
6653643,761
7228519,3831
7306673,336
7952993,225
8142691,54
8339162,10326
8405131,1162
8818018,1181
8875437,1086
9282939,3622
9626183,21019
9650960,5433
9658872,1259
10412281,1086
10435441,5433
10435922,1401
10520061,133
10521722,957
10585250,124
10631290,11704
10832897,1405
10834528,91
10955983,2718
10963081,42
11107988,1577
11176827,364
11228451,1211
11291526,94
11605642,3225
11625417,137
11707880,87
11746264,1401
11753236,3005
11802012,1330
12192051,1134
12749140,11704
13082203,2
13095216,319
13368782,52
13464028,12
13480659,590
13494877,774
13664602,752
14515342,190
14771481,715
15471020,169
15500909,109
15669545,28
15867274,136
16174927,340
16409333,466
17038695,747
17328893,926
18022219,277
19696936,269
21187110,1309
22047350,641
23620520,137
23775197,350
24919055,78
25037627,102
25045443,2629
26108120,2451
26550795,3
27633284,12
28317607,28
1962,364
3052,228
4003,392
4473,181
5497,1856
5629,1566
6978,168
9713,2424
10594,77
10686,187
19579,87
22551,194
23085,8671
27046,196
30402,389
32107,293
36591,281
38658,159
48951,96
53018,77
54785,52
79442,16
87135,327
91363,27
98743,364
100266,79
102179,301
112292,70
159999,225
164085,210
167194,4312
176492,1967
263107,65
267717,213
543497,433
1027466,248
1352199,4651
1690743,614
1713442,1181
1778841,319
1893164,511
1989790,398
2241376,77
2447212,598
2662867,94
2702530,330
2719572,293
2889040,110
2978560,102
3136825,319
3582345,31
3683487,87
3706501,17
3814424,140
4019026,33
4026408,16
4136027,41
4326459,240
4467262,106
4539094,1018
4629745,979
4786655,1162
4894767,8556
4933925,4099
5195927,4099
5630665,86
6085795,61
6169171,59
6191402,19
6196408,320
6210932,36
6280726,27
6412773,125
6533556,4
6587692,45
6611850,91
6816151,125
7164842,142
7170693,1201
7189065,1661
7326980,260
7537997,2821
8296041,33
8532554,316
8566806,486
8939716,158
9078570,219
9659919,10
9709116,729
9912292,58
9975034,36
9983686,323
10138664,2397
10280298,35
10282819,35
10773454,50
10819648,616
11001304,1600
11095632,2011
11570176,31
12402890,16
12582238,28
13398866,21
13489032,176
13490952,756
13523497,50
13539138,24
13635889,35
13636819,256
13759969,329
14328878,36
14773650,39
14847736,21
14897153,97
15417633,59
16154948,46
16230400,3796
16423884,2379
16428381,107
17020688,86
18097224,42
19569279,629
19717550,254
21719074,75
22053762,564
22054830,86
22095887,15
23458675,125
24729237,77
27671937,5
27676276,165
27977354,25
28033868,35
391,287
2204,8514
4267,227
4281,64
6053,2046
8892,129
9709,1954
10512,629
10579,532
10649,112
13436,147
13718,529
18003,451
18601,164
18941,133
19030,98
19375,80
23670,608
24177,121
25986,6063
26636,1583
28576,54
33227,1811
35473,192
39075,273
41849,57
45141,31
53286,570
54068,1100
65772,739
106815,120
110992,93
118048,195
118551,53
131286,107
141145,1899
150716,312
153822,185
255320,320
313268,89
319466,715
321869,315
323565,2153
450328,177
499056,29
811401,375
1036996,79
1059797,25
1117036,543
1546988,71
1977847,37
2257096,113
2417208,9
2661903,73
2862294,1181
3048906,416
3067095,805
3290625,713
3361740,101
3413879,739
3465213,32
3961217,45
4142580,41
4342100,1667
4646758,990
4663721,152
4882831,355
5042362,45
5095078,144
5145060,541
5428457,188
5555823,16
5565375,45
6087555,31
6399055,82
6451691,92
6476825,20
6704373,639
6916565,30
7113913,371
7461031,29
7556976,365
8117762,408
8515356,1781
8532385,236
9268752,866
9726637,839
9745677,21
9895007,44
10296656,455
10358518,255
10388177,991
10451754,1036
10817458,89
11072255,84
11183490,16
11318999,36
11402707,578
11702237,589
11912097,8671
12326365,75
12449377,155
12520304,32
12630000,6
12653317,41
12670029,2658
13334964,291
13509074,55
13544235,280
13621454,49
13735930,96
14116012,15704
14627410,12
14995115,457
15205847,122
15363005,13
15536213,433
17070556,87
17081302,227
17708574,546
17785086,240
17941398,99
18781956,197
18903735,10
19047987,44
19644716,27
19761685,114
20163538,682
20390809,25
22052042,33
24272262,66
27428481,117
28338390,2443
28376284,294
1819,1036
6931,67
7756,621
9383,421
12257,139
13747,226
16113,187
17000,1566
18090,1136
21530,1354
24213,282
24522,2443
25016,900
25359,1567
30761,10
33656,299
37623,241
38744,182
42948,42
45669,483
49570,688
58903,139
64654,68
87869,1353
113880,16804
126778,296
167985,1471
185861,724
216447,6052
242564,50
348868,27
362894,121
366402,1150
643697,343
705818,253
771049,63
1008365,318
1372746,228
1545229,1655
