"`repo_id`","`number_of_members`"
"19","10"
"74","4"
"114","2"
"183","12"
"274","2"
"310","14"
"392","118"
"411","2"
"434","13"
"479","3"
"572","6"
"695","1"
"940","5"
"964","8"
"1088","1"
"1091","7"
"1318","1"
"1322","1"
"1358","2"
"1650","3"
"1743","1"
"1896","4"
"1903","1"
"2042","20"
"2236","1"
"2301","4"
"2310","4"
"2470","1"
"2498","5"
"2524","1"
"2888","11"
"2895","4"
"3095","4"
"3182","482"
"3345","2"
"3500","26"
"3623","6"
"3633","1"
"3669","3"
"3816","7"
"4492","1"
"4718","1"
"5022","8"
"5101","1"
"5162","2"
"5245","12"
"5273","2"
"5520","440"
"5672","3"
"5754","174"
"5759","3"
"5767","12"
"6119","6"
"6142","6"
"6368","8"
"6413","386"
"6419","1"
"6489","12"
"6603","1"
"6606","14"
"6815","12"
"6845","2"
"6848","1"
"6883","3"
"7178","1"
"7208","1"
"8127","20"
"8256","2"
"8366","6"
"8423","7"
"8547","1"
"8721","8"
"9000","2"
"9047","1"
"9150","10"
"9316","18"
"9446","1"
"9716","1"
"9840","16"
"9877","7"
"10197","1"
"10457","16"
"10559","4"
"10641","27"
"10679","6"
"10692","3"
"11005","2"
"11360","3"
"11630","118"
"11706","2"
"11788","2"
"11902","1"
"12747","10"
"13021","81"
"13043","2"
"13255","7"
"13860","21"
"15423","1"
"16379","1"
"16542","2"
"17694","51"
"17969","1"
"18104","3"
"18152","8"
"18170","21"
"18659","8"
"18856","1"
"18976","2"
"19640","1"
"19988","1"
"20722","8"
"21127","10"
"21280","4"
"22068","1"
"22940","1"
"23122","1"
"23249","1"
"23301","1"
"23650","1"
"23857","3"
"24364","2"
"24423","171"
"24444","15"
"24553","1"
"24713","1"
"24889","2"
"24902","4"
"25304","5"
"25524","1"
"25750","2"
"25987","3"
"26580","2"
"27013","1"
"27637","1"
"27766","4"
"28204","6"
"28315","1"
"28596","4"
"28711","1"
"28763","10"
"30402","16"
"30411","3"
"30501","4"
"30746","4"
"31211","1"
"31238","1"
"31313","1"
"31791","1"
"32246","1"
"32281","1"
"32758","3"
"33701","2"
"33750","1"
"34288","4"
"34342","1"
"34418","1"
"34788","2"
"34959","1"
"36464","1"
"37011","26"
"37344","1"
"37896","6"
"38295","1"
"38936","2"
"39044","2"
"39156","3"
"41970","1"
"43476","1"
"45763","1"
"46267","4"
"51883","1"
"53056","1"
"53860","1"
"54076","18"
"54269","1"
"54345","4"
"54510","2"
"54655","7"
"54818","2"
"57382","1"
"62315","1"
"62782","3"
"63786","1"
"65941","1"
"67276","9"
"68176","1"
"70612","2"
"74212","1"
"74349","11"
"76484","6"
"77042","1"
"78652","2"
"79128","1"
"81895","1"
"82097","4"
"88059","2"
"90159","1"
"91725","7"
"92782","6"
"93646","15"
"96294","1"
"97351","1"
"100334","1"
"100525","3"
"101850","3"
"102829","2"
"107933","21"
"108222","2"
"114021","1"
"116538","1"
"117301","1"
"118022","104"
"118213","25"
"119372","1"
"119796","1"
"120207","6"
"120682","1"
"121310","1"
"125073","3"
"125322","1"
"132412","14"
"135456","1"
"141646","1"
"142124","1"
"143961","1"
"146534","3"
"146548","2"
"146707","1"
"147222","1"
"149072","2"
"149346","44"
"150458","1"
"153895","1"
"154319","1"
"158858","1"
"159220","2"
"162433","1"
"170710","1"
"181559","3"
"185885","1"
"189773","1"
"196307","24"
"196754","8"
"216530","1"
"230489","1"
"242885","1"
"244720","1"
"267105","18"
"268401","2"
"300038","1"
"316139","1"
"329121","12"
"358604","3"
"362049","1"
"365193","1"
"373792","1"
"386390","22"
"400032","1"
"405214","1"
"418168","4"
"432246","1"
"443771","1"
"464984","2"
"467707","1"
"482523","1"
"495772","116"
"506136","1"
"508194","1"
"513771","1"
"526653","1"
"533414","1"
"547984","2"
"562709","1"
"566010","1"
"578489","1"
"580940","2"
"614053","40"
"623264","1"
"646675","1"
"651549","1"
"683351","9"
"690791","1"
"700962","1"
"728838","2"
"737952","1"
"781314","2"
"792334","2"
"795823","11"
"828852","1"
"835515","1"
"836255","1"
"837533","1"
"839727","3"
"860948","1"
"871967","1"
"874609","25"
"876346","3"
"879678","10"
"896266","101"
"928567","1"
"958307","1"
"962397","1"
"971750","7"
"987066","1"
"1002457","1"
"1005669","1"
"1008609","1"
"1029082","4"
"1066002","1"
"1091537","2"
"1132390","1"
"1343544","5"
"1353232","3"
"1380912","1"
"1388658","1"
"1397379","1"
"1405105","3"
"1408576","1"
"1408779","1"
"1434458","3"
"1438441","3"
"1448236","3"
"1467143","4"
"1480937","2"
"1484423","1"
"1485176","1"
"1596743","1"
"1597230","1"
"1615773","1"
