`id`,`nr_of_pull_requests`
6,11680
231,355
280,77
334,441
391,19
392,4723
675,242
735,129
788,154
799,341
982,73
1022,33
1182,973
1207,1601
1305,18
1615,46
1620,389
1742,113
1743,486
1799,2571
1819,24
1962,506
1996,55
2146,296
2204,5
2727,568
2746,874
2864,82
3052,26
3386,122
3430,87
3457,54
3595,96
3623,215
3648,6
3751,14
3928,53
4021,311
4068,1156
4095,3468
4267,535
4276,176
4281,12
4346,13
4432,35
4473,19
4654,37
4711,1461
4846,299
4929,124
5124,643
5161,78
5184,368
5455,1437
5478,101
5497,53
5626,629
5629,211
5874,60
6009,56
6053,8
6223,76
6313,1996
6413,285
6848,139
6931,46
6978,94
7059,87
7149,47
7233,339
7317,252
7756,696
7836,224
7982,133
8127,3153
8184,644
8304,51
8329,36
8390,334
8525,486
8566,95
8833,179
8892,183
9259,275
9383,19
9682,201
9709,5
9713,24
9716,229
9951,61
10070,4590
10197,307
10462,11
10512,29
10579,26
10594,154
10686,14
10798,506
10912,2359
11067,3
11435,196
11820,351
11902,571
12031,1173
12257,33
12258,851
12830,915
12831,169
12885,812
13235,164
13436,118
13718,176
13747,22
13929,39
14061,97
14098,1376
14622,24
14763,32
14952,279
15433,78
15728,69
15756,268
15762,2907
16113,11
16376,10
16462,102
16639,113
16820,82
16836,50
17000,280
17165,411
17411,9
17730,22
17742,60
17798,132
18003,10
18045,72
18090,126
18571,140
18601,41
18941,6
19019,13
19030,39
19375,20
19579,9
19615,1
19626,171
19640,9
19806,63
19996,10
20138,115
20678,67
21218,89
21274,227
21530,126
21621,632
22086,43
22321,188
22528,339
22551,155
22772,8
23085,22
23122,29
23238,116
23301,235
23429,12
23605,68
23670,90
23834,593
23888,20
24177,9
24213,25
24326,15
24522,13
24559,417
24603,156
24889,33
24960,52
25016,27
25359,33
25380,149
25986,28
26624,878
26636,112
26688,285
27046,952
27194,26
28009,45
28054,99
28069,124
28204,297
28556,121
28576,54
29172,36
29762,131
29914,231
29991,77
30402,513
30738,59
30761,3
31283,17
31366,120
32023,251
32107,4
32638,60
33227,4
33565,158
33656,98
34288,18
35473,37
36413,92
36591,4
36713,508
37623,10
37778,4
38658,11
38744,168
39027,100
39044,33
39075,705
40389,145
41498,21
42948,2
43969,5
45141,11
45669,18
45702,4
48829,7
48951,11
49570,44
50875,250
53018,25
53286,107
54351,107
54491,141
54745,13
54785,16
56374,214
58642,39
58903,33
59582,2
59607,28
59830,16
62093,2
64212,146
64390,21
64654,97
65772,7
70499,10
74160,8
84341,38
85800,14
87135,33
87869,51
88390,3
90988,1
96553,675
96689,53
96763,6
98743,28
99731,3
100266,16
102179,233
104483,4
106815,2
106864,47
107530,1
110992,9
112249,61
112262,4
112292,3
113880,20
114167,4016
116162,3
118048,20
118551,11
119275,19
119977,50
120216,4
120707,24
123356,5
124505,102
126778,12
131286,28
134290,2
141145,23
141261,44
142406,5
149332,299
150716,1
153822,24
154114,1
156773,6
158753,479
159999,28
164085,13
166720,1
167194,13
167303,56
167985,55
169454,8
169529,13
176492,18
180685,15
181526,810
182702,296
185861,32
189681,72
204692,119
205834,6
206270,3
209924,2
214505,3
214552,5
216447,79
219601,54
220953,2
222916,3
223537,17
224435,24
231026,67
233193,2
242564,8
243431,60
244129,17
244417,58
246730,8
255320,12
260066,5
262948,2
263107,4
267105,70
267717,14
276344,5
280617,73
284018,2
285798,21
306833,1
306908,5
309661,5
311780,15
313268,77
319466,14
321869,2059
323565,19
326476,7
328815,35
335881,2
337343,12
338816,1
343698,35
344063,7
348868,4
357887,15
362053,12
362894,24
363605,2
366402,7
374916,8
386790,2
414089,9
419651,33
422791,1
427496,2
440795,8
445199,15
450328,12
460773,1
497181,1
499056,6
543497,85
546329,1
569534,1
572040,58
576260,2
615055,6
640609,1
643697,17
651549,54
683351,1411
686542,1
696102,1613
705818,14
718118,29
719340,1
723307,10
724361,2
738430,529
742622,16
743378,29
750986,12
771049,3
772395,1
784448,21
811373,8
811401,37
812923,1
839143,3
870927,1
927777,9
1001578,261
1008365,20
1017307,2
1036996,3
1059797,8
1084208,2
1093294,10
1117036,5
1124381,1
1195142,6
1242075,2
1261926,2
1270737,357
1344179,240
1352199,353
1354419,74
1366256,12
1367068,34
1367228,59
1372746,16
