"`project_id`","`number_of_commits`"
"19","8974"
"74","3637"
"102","310"
"114","1635"
"183","25743"
"274","586"
"299","69"
"310","1643"
"392","19877"
"411","431"
"434","5808"
"479","161"
"572","3599"
"695","44"
"940","1411"
"964","73"
"1088","99499"
"1091","861"
"1097","45"
"1318","1351"
"1322","624"
"1358","411"
"1650","294"
"1743","1513"
"1896","3384"
"1903","92"
"2042","2117"
"2236","780"
"2290","51"
"2301","51"
"2310","418"
"2470","1165"
"2498","549"
"2524","43"
"2781","202"
"2888","2403"
"2895","2077"
"3095","1526"
"3182","1167"
"3345","267"
"3500","10565"
"3623","818"
"3633","433"
"3669","93"
"3705","357"
"3816","7006"
"4161","175"
"4454","13"
"4492","152"
"4718","252"
"5022","1883"
"5101","1194"
"5162","1000"
"5245","4360"
"5273","582"
"5520","74445"
"5672","464"
"5754","1038"
"5759","1215"
"5767","6978"
"6119","991"
"6142","633"
"6368","11595"
"6413","1790"
"6419","473"
"6489","8015"
"6558","897"
"6603","204"
"6606","1089"
"6729","65"
"6785","2306"
"6815","9194"
"6845","12475"
"6848","631"
"6882","120"
"6883","3884"
"7178","1014"
"7208","586"
"7209","100"
"8127","16725"
"8168","390"
"8256","54"
"8366","163"
"8423","4665"
"8547","308"
"8721","6471"
"8943","100"
"9000","763"
"9047","851"
"9150","2071"
"9316","28435"
"9446","14"
"9716","633"
"9840","6162"
"9877","626"
"10098","865"
"10197","1581"
"10457","1024"
"10559","1436"
"10641","4245"
"10679","3412"
"10692","118"
"11005","620"
"11360","6558"
"11630","1754"
"11652","183"
"11706","316"
"11788","187"
"11902","2619"
"12678","13"
"12747","3683"
"13021","1467"
"13043","512"
"13255","2336"
"13760","28"
"13860","42857"
"14361","1"
"14688","991"
"15423","110"
"16037","1"
"16379","42"
"16542","352"
"17387","369"
"17694","76402"
"17880","538"
"17969","625"
"18104","2944"
"18152","509"
"18170","3420"
"18659","5137"
"18856","151"
"18911","3861"
"18976","319"
"19135","187"
"19640","35"
"19988","25"
"20138","167"
"20282","867"
"20722","255"
"20862","108"
"21127","4989"
"21280","539"
"21608","364"
"21742","206"
"22068","63"
"22117","667"
"22190","163"
"22940","19"
"23122","168"
"23249","538"
"23301","730"
"23650","124"
"23857","217"
"23888","73"
"23994","99"
"24282","68"
"24364","562"
"24423","1489"
"24444","33561"
"24553","287"
"24713","341"
"24889","118"
"24902","826"
"25304","3740"
"25524","151"
"25528","224"
"25750","319"
"25813","79"
"25987","65"
"26580","112"
"26734","469"
"27013","579"
"27605","176"
"27637","56"
"27766","397"
"28154","87"
"28204","1841"
"28315","76"
"28464","23"
"28596","133"
"28711","9"
"28763","27292"
"30402","9648"
"30411","278"
"30501","1318"
"30590","18"
"30746","322"
"31211","80"
"31238","112"
"31313","156"
"31791","400"
"31908","419"
"32185","190"
"32246","352"
"32281","31"
"32456","127"
"32733","10"
"32758","600"
"33701","271"
"33750","23"
"34098","176"
"34150","7"
"34288","107"
"34342","411"
"34418","118"
"34788","108"
"34959","370"
"35242","232"
"35872","100"
"36464","106"
"36632","129"
"37011","3130"
"37344","186"
"37367","114"
"37373","70"
"37761","3244"
"37896","148"
"38295","68"
"38936","508"
"39044","183"
"39156","750"
"39186","89"
"39594","617"
"40092","1415"
"40899","126"
"41970","118"
"43476","111"
"43782","4"
"45655","358"
"45763","341"
"46267","315"
"46761","20"
"46907","1835"
"50376","135"
"50600","17"
"51637","46"
"51883","346"
"52574","303"
"52869","307"
"53056","29"
"53860","2905"
"54076","25481"
"54085","27"
"54269","100"
"54345","127"
"54510","309"
"54542","1153"
"54655","9169"
"54818","266"
"55782","106"
"56385","4"
"56409","98"
"57382","332"
"58739","49"
"59392","30"
"59599","89"
"60146","100"
"60397","379"
"60678","34"
"60866","14"
"62315","1522"
"62782","756"
"63202","7"
"63675","21"
"63786","20"
"64525","291"
"65941","1327"
"67276","15678"
"68176","4"
"70612","153"
"72596","30"
"74212","511"
"74349","550"
"76484","372"
"77042","358"
"78652","288"
"78911","489"
"79128","109"
"79771","1081"
"79920","16"
"81895","265"
"82097","295"
"83045","39"
"84691","242"
"86825","240"
"88059","236"
"90159","1356"
"91725","330"
"92782","386"
"93646","1136"
"94667","18"
"96294","23"
"97351","211"
"100334","13"
"100525","3899"
"101636","19"
"101850","15"
"101858","112"
"102829","62"
"103698","361"
"107806","224"
"107933","343"
"108222","130"
"109876","185"
"114021","85"
"114527","362"
"116538","14"
"117301","74"
"118022","3040"
"118213","248"
"119372","1842"
"119796","80"
"120207","319"
"120682","2982"
"121310","66"
"125073","534"
"125322","131"
"129046","104"
"132412","75"
"135456","895"
"141646","285"
"142124","50"
"143961","367"
"146534","902"
"146548","99"
"146707","2"
"147222","29"
"149072","27"
"149332","3981"
"149346","347"
"150458","193"
"153895","44"
"154319","23"
"158858","2"
"159220","161"
"162433","1056"
"167562","24"
"169808","7"
"170710","300"
"177326","7359"
"181559","431"
"184184","234"
"184907","15"
"185885","35"
"186361","23"
"187243","115"
"189773","198"
"189840","114"
"190010","27"
"196307","4350"
"196754","69"
"207832","111"
"208015","11"
"208412","30"
"212801","193"
"213644","51"
"214368","2"
"214407","156"
"215799","4"
"216530","147"
"222877","2"
"223302","248"
"224259","14"
"225586","31"
"230489","542"
"237447","100"
"242885","198"
"242997","97"
"244720","21"
"248207","296"
"255490","134"
"267105","468"
"267326","2"
"268401","227"
"270057","229"
"285668","5"
"300038","9"
"301807","2"
"304058","19"
"309670","17"
"316139","516"
"321648","71"
"329121","191"
"333783","577"
"335047","241"
"357556","262"
"358604","115"
"362049","17"
"365193","577"
"365250","14"
"373271","5"
"373792","75"
"378231","82"
"386390","147"
"400032","13"
"405214","14"
"418168","123"
"422111","17"
"428467","6"
"432246","11"
"443771","258"
"446033","293"
"447075","128"
"454788","134"
"464984","42"
"466851","3"
"467707","22"
"471506","94"
"482523","13"
"482846","4"
"486209","1"
"495772","10"
"501186","54"
"506136","81"
"508194","78"
"509669","257"
"513771","96"
"515528","229"
"516315","51"
"516445","503"
"517497","278"
"521061","70"
"522376","58"
"526653","183"
"533414","652"
"537036","1306"
"547931","64"
"547984","244"
"562022","7"
"562709","7"
"566010","42"
"566985","39"
"570463","100"
"578489","42"
"580940","7"
"598625","31"
"614053","16009"
"623264","89"
"631784","31"
"646675","5"
"651549","226"
"674097","17"
"683351","5860"
"686086","120"
"690791","56"
"692724","4"
"700962","3"
"716794","11"
"719101","82"
"723835","36"
"728838","1057"
"737952","90"
"738873","60"
"759417","6"
"775774","6075"
"781314","3"
"792334","463"
"793139","3545"
"795823","2291"
"796019","1"
"798409","56"
"806576","3979"
"828852","13"
"835515","50"
"836255","23"
"837533","62"
"839727","117"
"845137","61"
"848823","2"
"860948","13"
"863457","71"
"871734","8"
"871967","9"
"874609","97"
"876346","147"
"879678","250"
"883232","152"
"886849","207"
"896266","3703"
"928567","26"
"935761","10"
"958307","24"
"962397","1"
"971750","1133"
"976726","7"
"987066","208"
"991472","2"
"1001290","33"
"1001954","100"
"1002457","480"
"1004093","1"
"1005669","47"
"1008609","9"
"1029082","2714"
"1066002","8"
"1071476","136"
"1091537","23"
"1158123","28"
"1203005","1"
"1240192","2613"
"1248109","1"
"1263208","1003"
"1343544","1631"
"1350116","47"
"1350879","26"
"1353232","10845"
"1355862","401"
"1372631","87"
"1375082","130"
"1379881","52"
"1380912","11"
"1383479","41"
"1388658","125"
"1392190","9"
"1397379","84"
"1397786","99"
"1404659","121"
"1405105","2077"
"1408576","420"
"1408779","43"
"1410453","1070"
"1411297","7"
"1432150","214"
"1434115","37"
"1434458","231"
"1438441","2148"
"1442889","24"
"1448236","166"
"1467143","699"
"1480937","830"
"1484423","200"
"1485176","395"
"1493094","300"
"1596743","14"
"1597230","1410"
"1614982","432"
"1615773","270"
"1618024","6"
"1627817","17"
"1628425","2089"
"1641298","35"
"1644185","234"
"1662677","57"
"1721110","15"
"1721429","181"
"1729874","7"
"1749436","340"
"1755197","114"
"1849696","104"
"1852022","17"
"1852290","23"
"1856308","15"
"1860691","7"
"1865447","972"
"1866971","127"
"1881829","6"
"1884166","98"
"1888822","125"
"1892878","52"
"1898151","15"
"1900277","178"
"1901643","1293"
"1905470","56"
"1914484","200"
"1925207","7"
"1927112","2"
"1930013","20"
"1939871","102"
"1979766","2"
"1984271","40"
"1987257","1"
"1999035","1890"
"2149621","14"
"2152765","41"
"2171311","2"
"2197085","1"
"2206290","52"
"2218450","17"
"2247012","16"
"2252170","1141"
"2254446","31"
"2258394","88"
"2265170","6"
"2281955","374"
"2309716","15"
"2311994","4616"
"2316410","68"
"2318134","449"
"2326959","10"
"2328346","102"
"2331699","879"
"2344415","4673"
"2362450","1309"
"2380569","249"
"2391003","9"
"2408633","1376"
"2415673","4"
"2444552","682"
"2458723","3"
"2560476","20"
"2578176","4"
"2607328","75"
"2632596","64"
"2642907","17"
"2655075","44"
"2659243","88"
"2664658","7"
"2669954","1"
"2695636","44"
"2708358","14"
"2711445","41"
"2712963","40"
"2713033","1254"
"2745392","37"
"2747684","51"
"2748682","6"
"2748870","4"
"2767613","1"
"2769527","2"
"2783220","13"
"2808872","86"
"2811760","73"
"2815812","451"
"2836442","141"
"2849882","76"
"2851222","189"
"2852547","499"
"2856422","223"
"2861410","498"
"2909122","1113"
"2925795","17"
"2927012","91"
"2935841","10"
"2939553","3"
"2966199","7"
"2977429","43"
"2985979","55"
"2986781","157"
"2990357","359"
"2993122","96"
"2994208","25"
"3016067","2"
"3025153","191"
"3028326","360"
"3039758","28"
"3114264","581"
"3128083","790"
"3129874","43"
"3130041","1"
"3132805","4365"
"3133537","138"
"3144987","46"
"3159585","555"
"3164203","913"
"3179143","34"
"3184387","25"
"3202818","168"
"3213204","17747"
"3278224","35"
"3281773","440"
"3284051","87"
"3299811","76"
"3301236","49"
"3301654","3"
"3304945","351"
"3317852","14"
"3340894","16"
"3354167","777"
"3368849","195"
"3372093","23"
"3403281","5"
"3407580","1586"
"3418036","101"
"3418197","22"
"3449537","60"
"3453938","12"
"3466928","165"
"3502336","2"
"3505797","194"
"3514941","78"
"3521399","1642"
"3536377","54"
"3536666","9"
"3538411","700"
"3542921","20"
"3550460","2"
"3568123","616"
"3593224","2"
"3594309","55"
"3623728","3"
"3637549","254"
"3649316","3"
"3696763","783"
"3714509","64"
"3722347","3062"
"3723209","16"
"3759111","161"
"3770252","502"
"3774595","100"
"3776530","299"
"3780176","642"
"3787552","54"
"3791927","67"
"3809137","2325"
"3815119","1858"
"3819597","291"
"3819931","84"
"3820956","716"
"3830632","475"
"3837155","242"
"3837225","120"
"3882145","12"
"3902707","1980"
"3916184","682"
"3922782","519"
"3925874","74"
"3928909","152"
"3934330","6"
"3945990","66"
"3955585","10"
"3960711","1290"
"3963751","1046"
"3965913","1"
"3966315","66"
"3971741","299"
"3983173","669"
"3987886","1"
"4017200","3"
"4037534","163"
"4039603","64"
"4050872","229"
"4065214","2578"
"4071845","3"
"4101279","50"
"4101347","921"
"4102215","2976"
"4109892","70"
"4115240","61"
"4128054","1990"
"4152465","30"
"4154145","75"
"4157236","6"
"4210044","352"
"4257323","27"
"4258306","87"
"4259495","243"
"4268837","1545"
"4276118","328"
"4276991","5672"
"4283778","1197"
"4297009","196"
"4300921","3"
"4305224","1"
"4316297","12"
"4339949","14"
"4360285","673"
"4362473","31"
"4369063","2203"
"4399794","53"
"4401237","52"
"4413566","42"
"4416030","32"
"4430763","25"
"4455600","7727"
"4474785","82"
"4489243","601"
"4523300","25"
"4524166","7"
"4560965","2885"
"4562344","17"
"4567322","7"
"4583291","4"
"4586596","84"
"4588041","81"
"4591038","2"
