"`repo_id`","`stars`"
"19","4026"
"74","2080"
"102","2058"
"114","9822"
"183","6130"
"274","4298"
"299","769"
"310","6155"
"392","26240"
"411","5914"
"434","2695"
"479","342"
"572","2626"
"695","1015"
"940","14028"
"964","1293"
"1088","22010"
"1091","3693"
"1097","131"
"1318","2494"
"1322","104"
"1358","8894"
"1650","2103"
"1743","2173"
"1896","5647"
"1903","639"
"2042","250"
"2236","13055"
"2290","1446"
"2301","1635"
"2310","3241"
"2470","1576"
"2498","2119"
"2524","241"
"2781","309"
"2888","3273"
"2895","4805"
"3095","2340"
"3182","1733"
"3345","1084"
"3500","3078"
"3623","2420"
"3633","13096"
"3669","990"
"3705","236"
"3816","5233"
"4161","735"
"4454","2483"
"4492","2184"
"4718","4598"
"5022","9048"
"5101","23676"
"5162","4470"
"5245","3749"
"5273","1158"
"5520","2615"
"5672","2556"
"5754","5972"
"5759","2702"
"5767","1518"
"6119","1503"
"6142","290"
"6188","15"
"6368","642"
"6413","1085"
"6419","2598"
"6489","2525"
"6558","1566"
"6603","213"
"6606","2783"
"6729","413"
"6785","1120"
"6815","9909"
"6845","4761"
"6848","1764"
"6882","1278"
"6883","3036"
"7178","3453"
"7208","2482"
"7209","409"
"8127","2929"
"8168","205"
"8256","2724"
"8366","1279"
"8423","1157"
"8547","1048"
"8721","1061"
"8943","290"
"9000","2229"
"9047","3449"
"9150","474"
"9316","7094"
"9446","372"
"9716","1760"
"9840","1532"
"9877","7136"
"10098","1317"
"10197","2436"
"10457","1237"
"10559","2411"
"10641","1118"
"10679","1114"
"10692","1416"
"11005","2648"
"11360","573"
"11630","1581"
"11652","128"
"11706","1818"
"11788","1309"
"11902","1546"
"12678","1446"
"12747","5257"
"13021","1939"
"13043","2955"
"13255","3726"
"13760","105"
"13860","8525"
"14361","1084"
"14688","139"
"15423","275"
"16037","41"
"16379","139"
"16542","1074"
"17387","2946"
"17694","1711"
"17880","1826"
"17969","1164"
"18104","3459"
"18152","2793"
"18170","956"
"18659","1705"
"18856","216"
"18911","3039"
"18976","1185"
"19135","38"
"19640","1998"
"19960","13"
"19988","280"
"20138","2673"
"20282","2158"
"20722","912"
"20862","1651"
"21127","1315"
"21280","1400"
"21608","1041"
"21742","210"
"22068","564"
"22117","284"
"22190","263"
"22940","42"
"23122","1563"
"23249","1093"
"23301","3155"
"23650","139"
"23857","1117"
"23888","1070"
"23994","1771"
"24282","197"
"24364","338"
"24423","317"
"24444","1581"
"24553","395"
"24713","1549"
"24889","1142"
"24902","2369"
"25304","134"
"25524","188"
"25528","1084"
"25750","1121"
"25813","148"
"25987","203"
"26580","1746"
"26734","120"
"27013","15"
"27605","352"
"27637","367"
"27766","3165"
"28154","430"
"28204","4647"
"28315","1324"
"28464","135"
"28596","15"
"28711","3"
"28763","237"
"30402","546"
"30411","118"
"30501","3804"
"30590","1080"
"30746","184"
"31211","401"
"31238","1081"
"31313","611"
"31791","154"
"31908","532"
"32185","142"
"32246","1456"
"32281","104"
"32456","377"
"32733","108"
"32758","1033"
"33701","317"
"33750","14"
"34098","1161"
"34150","413"
"34288","1635"
"34342","2191"
